wilaya_code,wilaya,commune_code,commune,ecole_code,nom_ecole
10,"Bouira",1001,"البويرة (BOUIRA)",10011001,"إبتدائية  حسيبة بن بوعلي"
10,"Bouira",1001,"البويرة (BOUIRA)",10011002,"إبتدائية  أحمد بوصندالة"
10,"Bouira",1001,"البويرة (BOUIRA)",10011003,"إبتدائية  سي لحلو حسين"
10,"Bouira",1001,"البويرة (BOUIRA)",10011004,"إبتدائية  معيز سليمان"
10,"Bouira",1001,"البويرة (BOUIRA)",10011005,"إبتدائية  قويدر أحمد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011006,"إبتدائية  خيرة ولد حسين"
10,"Bouira",1001,"البويرة (BOUIRA)",10011007,"إبتدائية  صديقي بلقاسم"
10,"Bouira",1001,"البويرة (BOUIRA)",10011008,"إبتدائية  بلعباس محمد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011009,"إبتدائية  قاسي حسين"
10,"Bouira",1001,"البويرة (BOUIRA)",10011010,"إبتدائية  قطاف أحمد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011011,"إبتدائية  البشير الابراهيمي البويرة"
10,"Bouira",1001,"البويرة (BOUIRA)",10011012,"إبتدائية  منصوري محمد البويرة"
10,"Bouira",1001,"البويرة (BOUIRA)",10011013,"إبتدائية  عبد الحميد بن باديس البويرة"
10,"Bouira",1001,"البويرة (BOUIRA)",10011014,"إبتدائية  جعدي عيسى"
10,"Bouira",1001,"البويرة (BOUIRA)",10011015,"إبتدائية  العربي التبسي البويرة"
10,"Bouira",1001,"البويرة (BOUIRA)",10011016,"إبتدائية  العارف السعيد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011017,"إبتدائية  لحام محمد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011018,"إبتدائية  حجابي ابراهيم"
10,"Bouira",1001,"البويرة (BOUIRA)",10011019,"إبتدائية  جنيدي سالم 1"
10,"Bouira",1001,"البويرة (BOUIRA)",10011020,"إبتدائية  شداني العربي"
10,"Bouira",1001,"البويرة (BOUIRA)",10011021,"إبتدائية  طالي مولود"
10,"Bouira",1001,"البويرة (BOUIRA)",10011022,"إبتدائية  جعفر خوجة محفوظ"
10,"Bouira",1001,"البويرة (BOUIRA)",10011023,"إبتدائية  قنداز اعمر"
10,"Bouira",1001,"البويرة (BOUIRA)",10011024,"إبتدائية  دموش محمد البويرة"
10,"Bouira",1001,"البويرة (BOUIRA)",10011025,"إبتدائية  عينوش اعمر"
10,"Bouira",1001,"البويرة (BOUIRA)",10011026,"إبتدائية  علواش أحمد البويرة"
10,"Bouira",1001,"البويرة (BOUIRA)",10011027,"إبتدائية  الإخوة عوالي"
10,"Bouira",1001,"البويرة (BOUIRA)",10011028,"إبتدائية  هروس عبد الرحمان"
10,"Bouira",1001,"البويرة (BOUIRA)",10011029,"إبتدائية  ولد اعمر مسعود"
10,"Bouira",1001,"البويرة (BOUIRA)",10011030,"إبتدائية  غلال قاسي"
10,"Bouira",1001,"البويرة (BOUIRA)",10011032,"إبتدائية  تالي معمر قويدر"
10,"Bouira",1001,"البويرة (BOUIRA)",10011033,"إبتدائية  بشلاوي سعيد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011034,"إبتدائية  بشلاوي سليمان"
10,"Bouira",1001,"البويرة (BOUIRA)",10011035,"إبتدائية  قوقي رشيد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011036,"إبتدائية  بوطاوس محمد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011037,"إبتدائية  مليكشي سعيد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011038,"إبتدائية  حامد خوجة العيفة"
10,"Bouira",1001,"البويرة (BOUIRA)",10011039,"إبتدائية  دراج مولود"
10,"Bouira",1001,"البويرة (BOUIRA)",10011040,"إبتدائية  مرسلي نذير"
10,"Bouira",1001,"البويرة (BOUIRA)",10011041,"إبتدائية  شرفاوي باية"
10,"Bouira",1001,"البويرة (BOUIRA)",10011042,"إبتدائية  شداني أحمد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011043,"إبتدائية  قاري عبد الرحمان"
10,"Bouira",1001,"البويرة (BOUIRA)",10011044,"إبتدائية  قرايشي سعيد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011045,"إبتدائية  واعلي سعيد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011046,"إبتدائية  بعنون احمد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011047,"إبتدائية  مستغانمي مقران"
10,"Bouira",1001,"البويرة (BOUIRA)",10011049,"إبتدائية  أولقاضي علي"
10,"Bouira",1001,"البويرة (BOUIRA)",10011050,"إبتدائية  لاندري شعبان"
10,"Bouira",1001,"البويرة (BOUIRA)",10011051,"إبتدائية  هابل رابح"
10,"Bouira",1001,"البويرة (BOUIRA)",10011052,"إبتدائية  بوراي سعيد"
10,"Bouira",1001,"البويرة (BOUIRA)",10011053,"إبتدائية  مرزوق عيسى"
10,"Bouira",1001,"البويرة (BOUIRA)",10011055,"إبتدائية  عكوش زوينة"
10,"Bouira",1001,"البويرة (BOUIRA)",10011056,"إبتدائية  حامد خوجة صالح"
10,"Bouira",1001,"البويرة (BOUIRA)",10011057,"إبتدائية  طاجة ساسي"
10,"Bouira",1001,"البويرة (BOUIRA)",10011058,"إبتدائية  بوراين يحي"
10,"Bouira",1001,"البويرة (BOUIRA)",10011060,"إبتدائية  دابة عبد الرحمان"
10,"Bouira",1001,"البويرة (BOUIRA)",10011062,"إبتدائية  المجاهد المتوفي بوتمر قاسي"
10,"Bouira",1001,"البويرة (BOUIRA)",10011063,"إبتدائية  المجاهد المتوفي قتال محمد أكلي"
10,"Bouira",1001,"البويرة (BOUIRA)",10011064,"إبتدائية  المجاهد المتوفي سلام ابراهيم"
10,"Bouira",1001,"البويرة (BOUIRA)",10011065,"إبتدائية  طاجة شريف"
10,"Bouira",1001,"البويرة (BOUIRA)",10011066,"إبتدائية  سيدهم حسان"
10,"Bouira",1001,"البويرة (BOUIRA)",10011067,"إبتدائية  المجاهد المتوفى مسلم حماني"
10,"Bouira",1002,"الأسنام (EL ASNAM)",10021001,"إبتدائية  دموش سعيد"
10,"Bouira",1002,"الأسنام (EL ASNAM)",10021002,"إبتدائية  العيدي مولود"
10,"Bouira",1002,"الأسنام (EL ASNAM)",10021003,"إبتدائية  معقاسي حميمي"
10,"Bouira",1002,"الأسنام (EL ASNAM)",10021004,"إبتدائية  مردود بوججيق"
10,"Bouira",1002,"الأسنام (EL ASNAM)",10021005,"إبتدائية  دحماني السعيد"
10,"Bouira",1002,"الأسنام (EL ASNAM)",10021006,"إبتدائية  بوبكر موسى"
10,"Bouira",1002,"الأسنام (EL ASNAM)",10021007,"إبتدائية  سليماني عاشور"
10,"Bouira",1002,"الأسنام (EL ASNAM)",10021008,"إبتدائية  حداد أحمد"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031001,"إبتدائية  قدواري الهادي"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031002,"إبتدائية  سماري أحمد"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031003,"إبتدائية  عيادي رابح"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031004,"إبتدائية  وشفون عمر"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031005,"إبتدائية  سويس عمر"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031006,"إبتدائية  عبيدة حسين"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031007,"إبتدائية  أحمد بن معيوف العالي"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031008,"إبتدائية  عيساوي محمد"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031009,"إبتدائية  موسى بركة عضاض"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031010,"إبتدائية  لقام علي"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031012,"إبتدائية  صيفي مولود"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031013,"إبتدائية  عصام محمد"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031014,"إبتدائية  الإخوة نقيب"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031016,"إبتدائية  قاسم محمد قرومة"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031017,"إبتدائية  امحمد غربي"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031018,"إبتدائية  بازون أحمد"
10,"Bouira",1003,"قرومة (GUERROUMA)",10031019,"إبتدائية  الإخوة انجشايري"
