NO_REGIAO;NO_UF;SG_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;DS_ENDERECO;NU_ENDERECO;NO_BAIRRO;CO_CEP;LATITUDE;LONGITUDE;TP_SITUACAO_FUNCIONAMENTO;IN_COMUM_FUND_AI
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EIEEF HAP BITT TUPARI;11022558;2;2;TERRA INDIGENA RIO BRANCO;S/N;RURAL;76954000;;;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEIEF BOA ESPERANCA;11024666;3;2;LINHA P 50 KM 22;;;76954000;-12.12982012;-61.99334879;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEIEF JOSE BASILIO DA GAMA;11024917;3;2;LINHA 42,5 KM 17;;;76954000;-11.88567737;-62.06721101;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMMEF MARTIM AFONSO DE SOUZA;11025115;3;2;LINHA 50 COM A 134;;;76954000;-11.94904005;-62.22953537;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEIEF PEDRO ALEIXO;11025310;3;2;LINHA 148 COM A 65 KM 38;;;76954000;-12.08884367;-62.10503397;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEIEF POTY;11025352;3;2;LINHA 60;KM 18;;76954000;-12.04266138;-62.03112723;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEIEF FLORESTA ENCANTADA;11025654;3;1;AVENIDA BAHIA;4598;;76954000;-11.9318066;-61.9882186;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EIEEFM KON KOATT TUPARI;11037962;2;2;TERRA INDIGENA RIO BRANCO;S/N;RURAL;76954000;;;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EIEEF SAW D JO TUPARI;11038047;2;2;RESERVA BIOLOGICA VALE DO GUAPORE;S/N;RURAL;76954000;;;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EIEEFM BOATT GERAINNY;11038373;2;2;TERRA INDIGENA RIO BRANCO;S/N;RURAL;76954000;;;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EIEEFM ANOMAE TUPARI;11046252;2;2;TERRA INDIGENA RIO BRANCO;S/N;;76954000;;;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEIEF 17 DE JUNHO;11047461;3;1;AVENIDA BRASIL;2934;;76954000;-11.9297843;-62.0035214;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEF MARIOMA PEREIRA DA SILVA;11050594;3;1;RUA FORTALEZA;4321;;76954000;-11.93184753;-61.9831682;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEIEF PADRE FEIJO;11025280;3;2;LINHA 105 COM A 152;SN;;76954000;-12.43655517;-62.0426595;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEIEF IZIDORO STEDILE;11024828;3;2;LINHA 138 KM 100;S/N;;76954000;-12.60328476;-62.17533345;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEIEF MARIA DE SOUZA PEGO;11025077;3;2;LINHA 47,5;;;76954000;-11.91801765;-62.32095124;1;1
Norte;Rondônia;RO;Alta Floresta D'Oeste;1100015;EMEIEF ANA NERY;11024372;3;2;ROLIM DE MOURA DO GUAPORE;;;76954000;-13.08366621;-62.27693003;1;1
Norte;Rondônia;RO;Ariquemes;1100023;ESCOLA ADVENTISTA DE ARIQUEMES;11006765;4;1;SALVADOR;2867;SETOR 03;76870450;-9.905960821;-63.04133177;1;1
