NatEmis,OldNATEMIS,NewNATEMIS,DataYear,Quarter,Province,Institution_Name,DoE_Status,Sector,Type_DoE,Phase_PED,Specialisation,OwnerLand,OwnerBuild,ExDept,ExamNo,ExamCentre,PaypointNo,ComponentNo,GIS_Long,GIS_Lat,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,SP_Code,SP_Name,EIDistrict,EICircuit,Township_Village,Suburb,Town_City,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,Learners_2023,Educators_2023
100000029,0,100000029,2023,3. Q3,1. Western Cape,Gaia Waldorf School,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.489,-33.94,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100053,99,,Metro Central,3,Oude Molen Village,Observatory,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,125,14
100000030,0,100000030,2023,3. Q3,1. Western Cape,Darun Na'Im Academy,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),1009984,Darun Na'Im Academy,99,,18.47,-34.012,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100063,99,,Metro South,2,Wynberg,Wynberg,City Of Cape Town,1. Yes,,,,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,120,17
100000031,0,100000031,2023,3. Q3,1. Western Cape,Atlantic Beach College,1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.439,-33.729,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100023,99,,Metro North,10,Melkbosstrand Sp,Melkbosch Strand,City Of Cape Town,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,38,5
100000036,0,100000036,2023,3. Q3,1. Western Cape,Trinity Primary School,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,23.045,-34.035,40. DC4,40. Garden Route District Municipality,22. WC048,22. Knysna Local Municipality,10408010,99,,Eden And Central Kar,4,Old Place,Knysna Central,Knysna,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,128,9
100000037,0,100000037,2023,3. Q3,1. Western Cape,"Eagle'S Nest Ministries, Sa",1. Open,2. Independent,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,99,,18.743,-33.853,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100101,99,,Metro East,6,Kraaifontein East 1,Wallacedene,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,469,17
100000038,0,100000038,2023,3. Q3,1. Western Cape,Silvermine Academy,1. Open,2. Independent,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),99,,99,,18.398,-34.121,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100069,99,,Metro South,9,Sun Valley,Sunvalley,City Of Cape Town,1. Yes,,2. Lower middle 20% (No fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,84,11
100000054,0,100000054,2023,3. Q3,1. Western Cape,Academy Private School,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),1004494,Academy Private School,99,,18.708,-33.928,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100014,99,,Metro East,2,Kuils River Estate,Klein Zevenwacht,City Of Cape Town,1. Yes,,,,,,2. No,2. Rural,0,2. Western Cape,1. Not Moved,163,18
100000055,0,100000055,2023,3. Q3,1. Western Cape,Claremont High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,,,,1. Cape Education Department(CED),1001203,Claremont High School,316857,61061,18.469,-33.988,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100059,99,,Metro Central,6,Claremont,Claremont,City Of Cape Town,1. Yes,4. ABCDE,5. Richest 20% (Fee paying),,,,2. No,1. Urban,277,2. Western Cape,1. Not Moved,504,26
100000056,0,100000056,2023,3. Q3,1. Western Cape,Westlake Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,,,,1. Cape Education Department(CED),99,,314390,61060,18.436,-34.073,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100071,99,,Metro South,4,Westlake 1,Westlake,City Of Cape Town,2. No,6. ABDE,4. Upper middle 20% (Fee paying),,,,1. Yes,1. Urban,1601,2. Western Cape,1. Not Moved,752,23
100000065,0,100000065,2023,3. Q3,1. Western Cape,Reddam House Atlantic Seaboard,1. Open,2. Independent,1. Ordinary School,5. Combined School,,,,1. Cape Education Department(CED),99,,99,,18.408,-33.91,1. CPT,1. City of Cape Town Metropolitan Municipality,1. CPT,1. City of Cape Town Metropolitan,19100115,99,,Metro Central,2,Green Point,Green Point,City Of Cape Town,1. Yes,,5. Richest 20% (Fee paying),,,,2. No,1. Urban,0,2. Western Cape,1. Not Moved,470,47
