id,name,name_en,name_pt,amenity,operator_type,addr_city,addr_street,longitude,latitude
node/1178801802,Pica Pau,,,school,,,,13.2617548,-8.8273333
node/1489476610,,,,school,,,,13.1476559,-8.9937687
node/1489657142,17 de Setembro,,,school,,,,13.2662004,-8.8310867
node/1635383733,Alliance Francaise,,,school,,,Largo Sagrada Familia,13.2391512,-8.8241408
node/1635396194,Colégio Elisangela Filomena,,,school,,,edificio 1 de maio,13.2428043,-8.8259537
node/1637376041,,,,school,,,,13.2204576,-9.000745
node/1651443296,,,,school,,,,13.2595838,-8.8390825
node/1700724674,Escola Grande do Cazenga,,,school,,,,13.2903045,-8.8384892
node/1719059411,,,,school,,,,13.2119306,-8.8337627
node/2358240364,,,,school,,,Rua da Vaidade,13.2676331,-8.8242508
node/2426637521,Escola da Betel,,,school,,,,13.2561813,-8.8247148
node/2426692659,Alpega,,,school,,,,13.2506023,-8.8224619
node/2426693334,Colégio Betânia,,,school,,Luanda,,13.2500873,-8.8228595
node/2438967858,Escola do Luvassa,,,school,,,,12.1752328,-5.5807509
node/2463023395,,,,school,,,,13.5574252,-12.3355337
node/2463033640,Universidade Lusíadas,,,school,,,,13.4064904,-12.5762113
node/2463044909,Nancys English School,,,school,,,,13.4032798,-12.5761721
node/2463047938,Escola Amílcar Cabral Nº31,,,school,,,Av. GEN. Machado de Amorim,13.4058443,-12.5780597
node/2493538641,Instituto de Veterinária da Huíla,,,school,,,,13.4265749,-14.9913125
node/2757731674,Escola,,,school,,,,16.3011391,-9.5247809
node/2847265449,Nancy's English School,,,school,,,,13.5464392,-12.3488191
node/3074704776,Quatro Rodas,,,school,,,,13.5505179,-12.3421111
node/3152619773,Capolo I,,,school,,,,13.2878184,-8.8654946
node/3152619809,,,,school,,,,13.2974422,-8.8793812
node/3184314464,Escola 3012,,,school,,,,13.2775826,-8.8160384
node/3500048691,Liceu Comandante Kassanji,,,school,,Benguela,,13.4012647,-12.5896287
node/3538187510,Escola de Condução Organizações Gervásio,,,school,,,Rua Alexandre Alberto da Rocha de Serpa Pinto,13.4073057,-12.5844396
node/3644652964,Escola Católica São José,,,school,,,,13.1828111,-8.8960015
node/4120945289,Instituto Superior de Ciências da Educação (ISCED),,,school,,Benguela,Rua Silva Porto,13.4088719,-12.5863442
node/4188967389,Colégio A Colina do Sol,,,school,,Luanda,Rua Cónego Manuel das Neves,13.2435781,-8.8158358
node/4189243259,Instituto Médio de Gestão (IMTG),,Instituto Médio de Gestão (IMTG),school,,Luanda,Rua M. Luther King,13.2388966,-8.8194578
node/4189835940,Centro de Formação Vitécnica,,,school,,Luanda,Avenida Hoji Ya Henda (ex Avenida Brasil),13.2478129,-8.8203728
node/4189842660,Ngola a Nzinga,,,school,government,Luanda,,13.2429126,-8.8205774
node/4191342536,Colégio Boavisão,,,school,,Luanda,Rua dos Fieis,13.3180476,-8.8716914
node/4191345140,Escola Nº 5064,,,school,,Luanda,,13.315932,-8.868931
node/4205527189,Centro Formação de Jornalismo,,,school,,Luanda,Rua M. Luther King,13.2357349,-8.8218981
node/4224379293,Colégio A Colina do Sol,,,school,,,,13.1661114,-8.9378758
node/4357387515,Colégio Vila Estoril,,,school,,,,13.251701,-8.8867598
node/4413718725,Colégio Fercal,,,school,,Lubango,Rua Comandante Hogi ya Henda,13.5010238,-14.9154767
node/4555896190,Colégio Helvip,,Colégio Elvip,school,,Luanda,,13.1634727,-8.9366265
node/4743329944,Escola Primária do Kalumue,,,school,,Lubango,,13.4934606,-14.9607884
node/5005018821,Chimbicato,,Chimbicato,school,,,Rua do Chimbicato,13.242854,-8.929573
node/5005232621,Escola do Secundária do 1º Ciclo do Kilamba Kiaxi 625 (Ana Paula),,,school,,,,13.2771776,-8.8810328
node/5060321522,Colégio Devir,,Colégio Devir,school,,,,13.2084897,-8.9078729
node/5060321523,Colégio San Pietro,,Colégio San Pietro,school,,Luanda,Rua do Jardim do Eden,13.2533783,-8.940855
node/5060346021,Mundo das Letras,,Mundo das Letras,school,,,,13.2895107,-8.9084679
node/5151070880,Escola Nº 3029 - Construção da Escola Secundária (Do 1º Ciclo),School No. 3029 - Construction of the Secondary School (1st Year),Escola Nº 3029 - Construção da Escola Secundária (Do 1º Ciclo),school,,Luanda,Avenida Murtala Mohamed (Ex Avenida Marchal Gomes da Costa),13.2549104,-8.7684219
node/5159839333,CEP CAJU,,,school,,Luanda,Longa,13.1695625,-8.9241067
node/5375271467,Escola Bencon,,,school,,Cabinda,,12.2334722,-5.5543516
node/5505173593,Colégio Suely,,,school,,Luanda,Cristiano dos Santos,13.2552888,-8.8119715
node/5653682823,Complexo Escolar Privado Politécnico Namunga,,,school,,,Rua Doutor Lacerda,15.7394936,-12.7805136
node/5732653823,Escola Primária 328,,,school,,,,19.915703,-11.780164
node/5732653824,Escola 52 Mandembue,,,school,,,,19.904234,-11.779064
node/5732662722,LSU23 Amor do Povo Saurimo,,,school,,,,20.410973,-9.692844
node/5735735424,LSU32 - Escola Primária 17 de Setembro,,,school,,,,20.398495,-9.680804
node/5738930721,Escola Primária do Bairro Verde,,,school,,,,20.395095,-9.664878
node/5739381521,Escola do Primário de Nanguanza,,,school,,,,20.366964,-9.889144
node/5755040513,American Schools of Angola -Kulunga Atrium,,,school,,Luanda,Rua V. Pinheiro R. Gomes,13.2357723,-8.8114074
