Calendar Year;ACARA SML ID;Location AGE ID;School AGE ID;School Name;Suburb;State;Postcode;School Sector;School Type;Campus Type;Rolled Reporting Description;Two years before Year 1 Offered;Two years before Year 1 Enrolments;One year before Year 1 Offered;One year before Year 1 Enrolments;Year 1 Offered;Year 1 Enrolments;Year 2 Offered;Year 2 Enrolments;Year 3 Offered;Year 3 Enrolments;Year 4 Offered;Year 4 Enrolments;Year 5 Offered;Year 5 Enrolments;Year 6 Offered;Year 6 Enrolments;Year 7 Offered;Year 7 Enrolments;Year 8 Offered;Year 8 Enrolments;Year 9 Offered;Year 9 Enrolments;Year 10 Offered;Year 10 Enrolments;Year 11 Offered;Year 11 Enrolments;Year 12 Offered;Year 12 Enrolments;Primary Ungraded Offered;Primary Ungraded Enrolments;Secondary Ungraded Offered;Secondary Ungraded Enrolments;Total Enrolments
2025;40000;40003;3;Corpus Christi Catholic School;Bellerive;TAS;7018;Catholic;Primary;School Single Entity;Individual Reporting;0;;1;61;1;60;1;59;1;60;1;60;1;57;1;56;0;;0;;0;;0;;0;;0;;0;;0;;413
2025;40001;40004;4;Fahan School;Sandy Bay;TAS;7005;Independent;Combined;School Single Entity;Individual Reporting;0;;1;20;1;12;1;20;1;23;1;22;1;32;1;39;1;50;1;48;1;43;1;38;1;30;1;42;0;;0;;419
2025;40002;40005;5;Geneva Christian College;Latrobe;TAS;7307;Independent;Combined;School Single Entity;Individual Reporting;0;;1;18;1;12;1;21;1;23;1;25;1;24;1;27;1;30;1;30;1;26;1;30;1;17;1;14;0;;0;;297
2025;40003;40007;7;Holy Rosary Catholic School;Claremont;TAS;7011;Catholic;Primary;School Single Entity;Individual Reporting;0;;1;53;1;51;1;59;1;58;1;56;1;47;1;50;0;;0;;0;;0;;0;;0;;0;;0;;374
2025;40004;40009;9;Immaculate Heart of Mary Catholic School;Lenah Valley;TAS;7008;Catholic;Primary;School Single Entity;Individual Reporting;0;;1;25;1;29;1;24;1;28;1;29;1;30;1;30;0;;0;;0;;0;;0;;0;;0;;0;;195
2025;40005;40010;10;John Calvin School;Launceston;TAS;7250;Independent;Combined;School Single Entity;Individual Reporting;0;;1;13;1;9;1;13;1;12;1;17;1;8;1;6;1;12;1;9;1;6;1;7;0;;0;;0;;0;;112
2025;40006;40011;11;Larmenier Catholic School;St Leonards;TAS;7250;Catholic;Primary;School Single Entity;Individual Reporting;0;;1;31;1;30;1;28;1;26;1;26;1;29;1;28;0;;0;;0;;0;;0;;0;;0;;0;;198
2025;40007;40012;12;Launceston Church Grammar School;Mowbray;TAS;7248;Independent;Combined;School Head Campus;Rolled Reporting;0;;1;28;1;20;1;19;1;21;1;28;1;47;1;40;1;87;1;105;1;85;1;96;1;80;1;67;0;;0;;723
2025;40008;40013;13;St James Catholic College;Cygnet;TAS;7112;Catholic;Combined;School Single Entity;Individual Reporting;0;;1;8;1;16;1;12;1;16;1;9;1;26;1;15;1;38;1;26;1;31;1;21;0;;0;;0;;0;;218
2025;40009;40018;18;Our Lady of Lourdes Catholic School;Devonport;TAS;7310;Catholic;Primary;School Single Entity;Individual Reporting;0;;1;55;1;54;1;56;1;59;1;55;1;56;1;50;0;;0;;0;;0;;0;;0;;0;;0;;385
