id,name,name_arabic,type,subtype,block,governorate,longitude,latitude,school_sector
1,ABU BAKER AL SIDDIQ PRIMARY BOYS SCHOOL,مدرسة أبو بكر الصديق الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,301,CAPITAL,50.57861342,26.22581514,PUBLIC
2,FATIMAH AL ZAHRA' PRIMARY GIRLS SCHOOL,مدرسة فاطمة الزهراء الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,301,CAPITAL,50.57974531,26.23013494,PUBLIC
3,ʻAISHA UMM AL MOAMININ PRIMARY GIRLS SCHOOL,مدرسة عائشة أم المؤمنين الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,305,CAPITAL,50.58136933,26.2329471,PUBLIC
4,ALRASHEED PRIMARY BOYS SCHOOL,مدرسة الرشيد الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,305,CAPITAL,50.58120597,26.23379183,PUBLIC
5,SAKINAH BINT ALHUSSAIN PRIMARY GIRLS SCHOOL,مدرسة سكينة بنت الحسين الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,306,CAPITAL,50.58520842,26.23736055,PUBLIC
6,AL MAMOON PRIMARY BOYS SCHOOL,مدرسة المأمون الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,307,CAPITAL,50.58659156,26.22929291,PUBLIC
7,ALMUTANABI PRIMARY BOYS SCHOOL,مدرسة المتنبي الابتدائية للبينن,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,308,CAPITAL,50.58407644,26.22466193,PUBLIC
8,RABEAA ALADAWIYA PRIMARY GIRLS SCHOOL,مدرسة رابعة العدوية الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,308,CAPITAL,50.58742825,26.22454585,PUBLIC
9,ALSALMANIYA PRIMARY GIRLS SCHOOL,مدرسة السلمانية الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,311,CAPITAL,50.57189781,26.22057653,PUBLIC
10,SUMAYAH PRIMARY GIRLS SCHOOL,مدرسة سمية الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,312,CAPITAL,50.56825257,26.22358686,PUBLIC
11,HATTEEN PRIMARY BOYS SCHOOL,مدرسة حطين الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,313,CAPITAL,50.56430057,26.22469245,PUBLIC
12,UMM AYMAN PRIMARY GIRLS SCHOOL,مدرسة أم أيمن الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,318,CAPITAL,50.59021554,26.2320358,PUBLIC
13,QUDAYBIYAH PRIMARY & INTERMEDIATE BOYS SCHOOL,مدرسة القضيبية الابتدائية الاعدادية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,325,CAPITAL,50.59226245,26.22086847,PUBLIC
14,AL ALAA AL HADHRAMI PRIMARY BOYS SCHOOL,مدرسة العلاء الحضرمي الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,328,CAPITAL,50.57564472,26.2153987,PUBLIC
15,UMM ALHASSAM PRIMARY BOYS SCHOOL,مدرسة أم الحصم الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,337,CAPITAL,50.59458639,26.20496812,PUBLIC
16,AL QUDS PRIMARY GIRLS SCHOOL,مدرسة القدس الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,342,CAPITAL,50.60043155,26.20680199,PUBLIC
17,THE PRIMARY RELIGIOUS INSTITUTE,المعهد الديني الابتدائي,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,345,CAPITAL,50.60828447,26.21268721,PUBLIC
18,ALBILAD ALQADIM PRIMARY GIRLS SCHOOL,مدرسة البلاد القديم الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,362,CAPITAL,50.55494936,26.20540226,PUBLIC
19,AL KHAMIS PRIMARY BOYS SCHOOL,مدرسة الخميس الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,365,CAPITAL,50.54938484,26.20665601,PUBLIC
20,AL NABIH SALEH PRIMARY GIRLS SCHOOL,مدرسة النبيه صالح الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,380,CAPITAL,50.58490308,26.18403722,PUBLIC
21,AL JAZEERAH PRIMARY BOYS SCHOOL,مدرسة الجزيرة الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,382,CAPITAL,50.58280336,26.18488304,PUBLIC
22,ALSANABIS PRIMARY GIRLS SCHOOL,مدرسة السنابس الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,404,CAPITAL,50.54320255,26.2211816,PUBLIC
23,ALSANABIS PRIMARY BOYS SCHOOL,مدرسة السنابس الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,408,CAPITAL,50.54445072,26.22486927,PUBLIC
24,AL DAIH PRIMARY & INTERMEDIATE GIRLS SCHOOL,مدرسة الديه الابتدائية الاعدادية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,414,CAPITAL,50.53472533,26.22566115,PUBLIC
25,AL RAZI PRIMARY BOYS SCHOOL,مدرسة الرازي الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,414,CAPITAL,50.53563746,26.22578942,PUBLIC
26,AL SALAM PRIMARY GIRLS SCHOOL,مدرسة السلام الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,422,CAPITAL,50.53271014,26.221137,PUBLIC
27,JIDHAFS PRIMARY BOYS SCHOOL,مدرسة جدحفص الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,425,CAPITAL,50.53618295,26.21679722,PUBLIC
28,SITRA PRIMARY GIRLS SCHOOL,مدرسة سترة الابتدائية للبنات,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - GIRLS,604,CAPITAL,50.60760573,26.16924734,PUBLIC
29,SITRA PRIMARY BOYS SCHOOL,مدرسة سترة الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,PUBLIC SCHOOLS - BOYS,605,CAPITAL,50.6171993,26.16135208,PUBLIC
