id_etablissement,nom_etablissement,nom_russe,nom_bielorusse,ville_localite,rue,numero_rue,code_postal,latitude,longitude,site_web,telephone,email,email
relation/9357,СШ №165,Средняя школа №165,СШ №165,,праспект Газеты Звязда,6,220116,53.86968087142857,27.46813732857143,,,,
relation/21966,Сярэдняя школа №145,Средняя школа №145,Сярэдняя школа №145,,вуліца Алібегава,5,220116,53.871035299999996,27.480803336363632,,,,
relation/21967,Сярэдняя школа №67,Средняя школа №67,Сярэдняя школа №67,Мінск,вуліца Алібегава,5А,220116,53.870777269999984,27.479728,,,,
relation/21977,ЦДАДіМ «Ранак»,ЦДОДиМ «Ранак»,ЦДАДіМ «Ранак»,Мінск,праспект Газеты Праўда,50,220116,53.86137427777778,27.471805688888892,,,ranak@minsk.edu.by,ranak@minsk.edu.by
relation/75537,Сярэдняя школа №147,Средняя школа №147,Сярэдняя школа №147,Мінск,вуліца Мірашнічэнкі,35А,220131,53.96071117000001,27.610226114999996,,,,
relation/75538,Сярэдняя школа №34,Средняя школа №34,Сярэдняя школа №34,Мінск,вуліца Мірашнічэнкі,35,220131,53.960340946153835,27.6092023,,,,
relation/301549,Наваполацкі гарадскі ліцэй,Новополоцкий городской лицей,Наваполацкі гарадскі ліцэй,,,,,55.53614500937499,28.657235846874997,http://ngl.by/,,,
relation/966302,Сярэдняя школа №13,Средняя школа №13,Сярэдняя школа №13,,праспект Машэрава,33,,52.08621114666666,23.699628813333327,,,,
relation/1113907,Гімназія №11,Гимназия №11,Гімназія №11,Мінск,вуліца Каліноўскага,36,220086,53.939592566666676,27.64003832222222,,,,
relation/2814068,Школа № 6,Школа № 6,Школа № 6,,вуліца Канстанціна Саннікава,99,,53.094876783870966,30.062646551612907,https://rogachev6.znaj.by/,,,
relation/2814069,Школа № 4,Школа № 4,Школа № 4,,вуліца Мікалая Гогаля,62,,53.09557102307693,30.03972178461538,,,,
relation/3280207,Школа №2,Школа №2,Школа №2,,,,,53.7400402,31.720124215384615,,,,
relation/3658867,СШ №2,СШ №2,СШ №2,,Сацыялістычная вуліца,124,,53.145164605882364,29.231012558823526,,,,
relation/3729605,Сярэдняя школа №1,Средняя школа №1,Сярэдняя школа №1,,,,,51.93309397142857,30.789947700000003,,,,
relation/3739433,Гімназія 39,Гимназия 39,Гімназія 39,,,,,53.910579757142855,27.43998050952381,,,,
relation/3786934,Школа НДЦ «Зубраня»,Школа НДЦ «Зубренок»,Школа НДЦ «Зубраня»,,,,,54.83447017391304,26.71458467826087,,,,
relation/4112157,Школа № 7,Школа № 7,Школа № 7,,вуліца Якуба Коласа,39,,55.20017218571428,30.161728000000004,https://sh7vitebsk.schools.by/,+375(212) 66-39-83;+375(212) 67-37-87,,uogosh7@tut.by
relation/4119887,Гімназія №10,Гимназия №10,Гімназія №10,,,,,54.30174652000001,26.84399608,http://gymn10mol.schools.by/,+375(176) 76-09-42,,gymn10mol@gmail.com
relation/4829703,Гімназія № 4,Гимназия № 4,Гімназія № 4,,,,,54.478403528571434,26.39406645238095,http://gymn4.bynets.ru/,"+375(1592) 3-38-90, +375(1592) 3-38-31",,gimn-smorgon@mail.grodno.by
relation/4848170,Сярэдняя школа №159,Средняя школа №159,Сярэдняя школа №159,,,,,53.901426257142866,27.4419162,http://sch159.minsk.edu.by/,,,
relation/4868511,СШ №3,СШ №3,СШ №3,,,,,55.61498552666667,27.639119006666665,,,,
relation/5253354,Гімназія №6 iмя С.Ц. Дзямешкi,Гимназия №6 имени С.Т. Демешко,Гімназія №6 iмя С.Ц. Дзямешкi,,вуліца Вялікі Гасцінец,66,,54.30476679000001,26.84430034,https://gim6mol.uomrik.gov.by,8-(0176)-50-26-21;8-(0176)-50-26-21,,gim6mol@uomrik.gov.by
relation/5332012,Бабровіцкая сярэдняя агульнаадукацыйная школа,Бобровичская средняя общеобразовательная школа,Бабровіцкая сярэдняя агульнаадукацыйная школа,,вуліца Міру,2А,,52.288600200000005,29.370826066666666,,,,
relation/5563531,Гімназія №6,Гимназия №6,Гімназія №6,,,,,53.93451651052632,27.587144121052628,,,,
relation/5616144,Гімназія №7,Гимназия №7,Гімназія №7,,,,,53.900110819999995,27.583312309999997,http://gymn7.minsk.edu.by/,+375 17 2941623,,
relation/5657092,Сярэдняя школа №19,Средняя школа №19,Сярэдняя школа №19,,,,,53.15382356190476,26.005353395238096,http://sch18.baranovichi.edu.by/,,,
relation/5657093,Сярэдняя школа №18,Средняя школа №18,Сярэдняя школа №18,,,,,53.15438312857143,26.007038821428573,http://sch18.baranovichi.edu.by/,,,
relation/5663731,Школа № 10,Школа № 10,Школа № 10,,,,,53.11504503333333,26.026857891666666,,,,
relation/5674523,Школа №12 ім. Кабушкіна І. К.,Школа № 12 им. Кабушкина И. К.,Школа №12 ім. Кабушкіна І. К.,,,,,53.13680794545455,25.98932927272727,http://sch12.baranovichi.edu.by/,+375(163) 49-68-08,,sch12.baranovichi@edu.by
relation/5678122,Школа № 3,Школа № 3,Школа № 3,,,,,53.12087316153847,25.95929773846154,http://sch3.baranovichi.edu.by/,+375(163) 41-90-81,,sch3@baranovichi.edu.by
relation/5847589,Сярэдняя школа № 41,Средняя школа № 41,Сярэдняя школа № 41,,,,,53.88293055999999,30.371711173333335,,,,
relation/5847590,Вучэбна-педагагічны комплекс дзіцячы сад — сярэдняя школа №42,Учебно-педагогический комплекс детский сад — средняя школа №42,Вучэбна-педагагічны комплекс дзіцячы сад — сярэдняя школа №42,,,,,53.87563212857143,30.360540657142856,,+375(222) 42-45-35,,
relation/5851376,Гімназія № 4,Гимназия № 4,Гімназія № 4,,,,,53.873695017391306,30.325099291304344,http://www.gimnazia4.mogilev.by/,"+375(222) 45-32-93, +375(222) 46-38-66",,mogilev_gimn4@tut.by
relation/5853508,Магілёўскі дзяржаўны абласны ліцэй №2,Могилевский государственный областной лицей №2,Магілёўскі дзяржаўны абласны ліцэй №2,,,,,53.877020015384616,30.317364207692307,http://www.mgol2.by/,,,
relation/5853509,Сярэдняя школа № 5,Средняя школа № 5,Сярэдняя школа № 5,,,,,53.87703176315789,30.32207148421053,http://www.school5.mogilev.by/,+375(222) 48-25-64,,mogilev_school5@tut.by
relation/5853629,Сярэдняя школа №43,Средняя школа №43,Сярэдняя школа №43,,,,,53.874059418181815,30.338462063636367,,,,
relation/5867950,Гімназія №71,Гимназия № 71,Гімназія №71,,,,,52.410684123529414,30.982788935294117,,,,
relation/5867953,Школа № 32,Школа № 32,Школа № 32,,,,,52.410103911111115,30.98032941111111,,,,
relation/5881547,Сярэдняя школа № 26,Средняя школа № 26,Сярэдняя школа № 26,,,,,53.90745659999999,30.292328662499997,http://sosh26.by/,+375(222) 23-60-28,,sosh_26@tut.by
relation/5947643,Сярэдняя школа №23,Средняя школа №23,Сярэдняя школа №23,,,,,53.90987986000001,30.320979949999998,,,,
relation/5953793,Сярэдняя школа № 8,Средняя школа № 8,Сярэдняя школа № 8,,,,,53.932021725,30.340182341666672,http://school8.mogilev.by/,+375(222) 23-32-06,,school8@mogilev.by
relation/6322161,Школа № 5,Школа № 5,Школа № 5,,вуліца Вячаслава Сцяпанава,84,,53.100723668181814,30.06578495909091,,,,
