DEPARTAMENTO,SECRETARIA,MUNICIPIO,CODIGO_DANE,NOMBRE_ESTABLECIMIENTO,SECTOR,CARACTER,CALENDARIO,DIRECCION,BARRIO_VEREDA,TELEFONO,EMAIL,RECTOR,TOTAL_MATRICULA,CANTIDAD_SEDES
Antioquia,ANTIOQUIA,Caicedo,105125000254,I. E. SAN JUAN BOSCO,OFICIAL,Técnico/Academico,A,KR 4 2 54,,8572055,educaicedo@yahoo.es,RIOS HINESTROZA MIGDONIO,705,5.0
Putumayo,PUTUMAYO,Colón,186219000070,IE SUCRE,OFICIAL,Técnico,A,CALLE 5 NO 4- 08,BARRIO SAN ANTONIO,3122862759,jecp26@hotmail.com,JORGE ENRIQUE CALPA PAZOS,576,3.0
Antioquia,APARTADO,Apartadó,105045001667,INSTITUCIÓN EDUCATIVA LA PAZ,OFICIAL,Académico,A,IND CL 103 N° 77-32,LA PAZ,824 0970 - 3146692725,lapaz@lapazapartado.edu.co,ARCILA TORO DORIS ELIANA,1 752,2.0
Antioquia,APARTADO,Apartadó,105045001683,INSTITUCIÓN EDUCATIVA HERACLIO MENA PADILLA,OFICIAL,Académico,A,KR 95 92 18,PUEBLO NUEVO,8152691,iehemepa@gmail.com,QUIROGA HERRERA YESID,1 381,1.0
Antioquia,APARTADO,Apartadó,105045010721,INSTITUCIÓN EDUCATIVA SAN JOSÉ OBRERO,OFICIAL,Académico,A,IND KR 95 N° 104A-07,OBRERO,824 0858,iesanjoseobrero2@gmail.com,AMANCIO MORENO SALAS,1 143,2.0
Antioquia,MEDELLIN,Medellín,105001000001,INSTITUCION EDUCATIVA FE Y ALEGRIA JOSE MARIA VELAZ,OFICIAL,Técnico/Academico,A,CL 121 48 67,LA ISLA,4644146/4640912,iefeyalegriajosemariavelaz@gmail.com,WAGNER HUMBERTO PARDO CARDOZO.,1 059,1.0
Antioquia,ANTIOQUIA,Angostura,205038000145,C. E. R. LA QUINTA,OFICIAL,No Aplica,A,VDA. LA QUINTA,,,cerlaquinta@gmail.com,ABSALON DE JESÚS MONSALVE GRANDA,228,10.0
Antioquia,MEDELLIN,Medellín,105001000043,INSTITUCION EDUCATIVA BARRIO SANTA CRUZ,OFICIAL,Técnico/Academico,A,CL 103 43 A 23,SANTA CRUZ,5294058,institucion@iebsantacruz.edu.co,EVA SUSANA ALBARRACÍN ESTRADA,1 162,1.0
Antioquia,MEDELLIN,Medellín,105001000094,COSMO SCHOOLS - SEDE ARANJUEZ,NO_OFICIAL,No Aplica,A,KR 51 B 91 95,ARANJUEZ,5212929,Juanpgiraldo@Comfama.com.co,MELISSA ALVAREZ LICONA.,82,1.0
Antioquia,MEDELLIN,Medellín,105001000108,INSTITUCION EDUCATIVA CENTRO FORMATIVO DE ANTIOQUIA -CEFA,OFICIAL,Técnico/Academico,A,CL 50 41 50,BOSTON,2175337,ie.cefa@medellin.gov.co,MONICA ROSA LONDOÑO ZULUAGA,1 695,1.0
