id,nom_ecole,type_code,type_nom,statut,annee,latitude,longitude,commune_code,commune_fi,commune_sv,seutukunta_code,seutukunta_fi,seutukunta_sv,maakunta_code,maakunta_fi,maakunta_sv
08888,Tusby träsk svenska skola,11,Peruskoulut,0,2025,60.415303,25.054554,245,Kerava,Kervo,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
08871,Aapiskujan koulu,11,Peruskoulut,0,2025,63.16205,23.831721,934,Vimpeli,Vimpeli,146,Järviseutu,Järviseutu,14,Etelä-Pohjanmaa,Södra Österbotten
03117,Aarnivalkean koulu,11,Peruskoulut,0,2025,60.182315,24.806708,049,Espoo,Esbo,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
03874,Aavan koulu,12,Peruskouluasteen erityiskoulut,0,2025,60.926024,24.655727,165,Janakkala,Janakkala,051,Hämeenlinna,Tavastehus,05,Kanta-Häme,Egentliga Tavastland
03584,Ahjon koulu,11,Peruskoulut,0,2025,60.399352,25.140696,245,Kerava,Kervo,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
05773,Ahlaisten koulu,11,Peruskoulut,0,2025,61.671818,21.630714,609,Pori,Björneborg,043,Pori,Björneborg,04,Satakunta,Satakunta
08458,Ahlströmin alakoulu,11,Peruskoulut,0,2025,61.862626,21.503206,484,Merikarvia,Sastmola,043,Pori,Björneborg,04,Satakunta,Satakunta
08374,Ahmasojan koulu,12,Peruskouluasteen erityiskoulut,0,2025,61.124552,22.130973,050,Eura,Eura,041,Rauma,Raumo,04,Satakunta,Satakunta
07735,Ahmon koulu,11,Peruskoulut,0,2025,63.08006,27.668579,749,Siilinjärvi,Siilinjärvi,112,Kuopio,Kuopio,11,Pohjois-Savo,Norra Savolax
06811,Ahokkalan koulu,11,Peruskoulut,0,2025,62.700734,29.921232,276,Kontiolahti,Kontiolahti,122,Joensuu,Joensuu,12,Pohjois-Karjala,Norra Karelen
07046,Ahonkylän koulu,11,Peruskoulut,0,2025,62.766675,22.677511,145,Ilmajoki,Ilmajoki,142,Seinäjoki,Seinäjoki,14,Etelä-Pohjanmaa,Södra Österbotten
06565,Ahteen koulu,11,Peruskoulut,0,2025,63.931924,25.041888,535,Nivala,Nivala,176,Nivala-Haapajärvi,Nivala-Haapajärvi,17,Pohjois-Pohjanmaa,Norra Österbotten
03636,Ahtialan peruskoulu,11,Peruskoulut,0,2025,61.003616,25.771578,398,Lahti,Lahtis,071,Lahti,Lahtis,07,Päijät-Häme,Päijänne-Tavastland
08656,Ahvenisjärven koulu,11,Peruskoulut,0,2025,61.448785,23.860014,837,Tampere,Tammerfors,064,Tampere,Tammerfors,06,Pirkanmaa,Birkaland
04753,Aitoon koulu,11,Peruskoulut,0,2025,61.337172,24.491775,635,Pälkäne,Pälkäne,064,Tampere,Tammerfors,06,Pirkanmaa,Birkaland
06616,Aittakorven koulu,11,Peruskoulut,0,2025,60.493613,26.868959,285,Kotka,Kotka,082,Kotka-Hamina,Kotka-Fredrikshamn,08,Kymenlaakso,Kymmenedalen
06566,Aittolan koulu,11,Peruskoulut,2,2025,63.852372,24.986102,535,Nivala,Nivala,176,Nivala-Haapajärvi,Nivala-Haapajärvi,17,Pohjois-Pohjanmaa,Norra Österbotten
00827,Akaan lukio,15,Lukiot,0,2025,61.16206,23.871111,020,Akaa,Akaa,063,Etelä-Pirkanmaa,Södra Birkaland,06,Pirkanmaa,Birkaland
08181,Akvarellin koulu,11,Peruskoulut,0,2025,60.806911,23.615361,061,Forssa,Forssa,053,Forssa,Forssa,05,Kanta-Häme,Egentliga Tavastland
