"code","name","academy","address","email","phone","student_count","public","url"
"0011108Z","Ecole élémentaire Charles Robin","Lyon","2 place du Maquis, 01000 BOURG EN BRESSE","ce.0011108Z@ac-lyon.fr","0474453702","148","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0011108z/ecole-elementaire-charles-robin.html"
"0010776N","Ecole élémentaire de Brou","Lyon","32 boulevard de Brou, 01000 BOURG EN BRESSE","ce.0010776N@ac-lyon.fr","0474453741","111","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0010776n/ecole-elementaire-de-brou.html"
"0010972B","Ecole élémentaire Les Dîmes","Lyon","7 rue du Revermont, 01000 BOURG EN BRESSE","ce.0010972B@ac-lyon.fr","0474450234","129","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0010972b/ecole-elementaire-les-dimes.html"
"0011086A","Ecole élémentaire Les Lilas","Lyon","3 rue des Lilas, 01000 BOURG EN BRESSE","ce.0011086A@ac-lyon.fr","0474214431","191","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0011086a/ecole-elementaire-les-lilas.html"
"0010777P","Ecole maternelle Brou","Lyon","27 rue Littré, 01000 BOURG EN BRESSE","ce.0010777P@ac-lyon.fr","0474450138","68","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0010777p/ecole-maternelle-brou.html"
"0010197J","Ecole maternelle Charles Robin","Lyon","Place du Maquis, 01000 BOURG EN BRESSE","ce.0010197J@ac-lyon.fr","0474450362","74","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0010197j/ecole-maternelle-charles-robin.html"
"0010971A","Ecole maternelle Les Dîmes","Lyon","7 rue du Revermont, 01000 BOURG EN BRESSE","ce.0010971A@ac-lyon.fr","0474453733","62","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0010971a/ecole-maternelle-les-dimes.html"
"0010969Y","Ecole maternelle Les Vavres","Lyon","71 chemin des Lazaristes, 01000 ST DENIS LES BOURG","ce.0010969Y@ac-lyon.fr","0474213630","113","true","https://www.education.gouv.fr/annuaire/01000/saint-denis-les-bourg/ecole/0010969y/ecole-maternelle-les-vavres.html"
"0011176Y","Ecole primaire d'application Charles Perrault","Lyon","11 avenue de l'Egalité, 01000 BOURG EN BRESSE","ce.0011176Y@ac-lyon.fr","0474453751","178","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0011176y/ecole-primaire-d-application-charles-perrault.html"
"0011271B","Ecole primaire d'application Les Vennes","Lyon","4 rue Racine, 01000 BOURG EN BRESSE","ce.0011271B@ac-lyon.fr","0474424625","314","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0011271b/ecole-primaire-d-application-les-vennes.html"
"0010193E","Ecole primaire Lazare Carnot","Lyon","1 rue Viala, 01000 BOURG EN BRESSE","ce.0010193E@ac-lyon.fr","0474453716","134","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0010193e/ecole-primaire-lazare-carnot.html"
"0011117J","Ecole Primaire Les Arbelles","Lyon","2 rue Tony Ferret, 01000 BOURG EN BRESSE","ce.0011117J@ac-lyon.fr","0474450129","197","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0011117j/ecole-primaire-les-arbelles.html"
