code,name,region,address,email,phone,student_count,public,url
360256570,34ο Δημοτικό Σχολείο Πατρών,West Greece,Patra,,,,True,
423820101,3ο Δημοτικό Σχολείο Συκεών,Central Macedonia,Sykies,,,,True,
423820103,6ο Δημοτικό Σχολείο Συκεών,Central Macedonia,Sykies,,,,True,
442927293,65ο Δημοτικό Σχολείο Αθηνών,Attica,Kipseli,,,,True,
442927296,4ο Ειδικό Δημοτικό Σχολείο Αθήνας,Attica,Kipseli,,,,True,
442927298,112ο & 132ο Δημοτικά Σχολεία Αθηνών,Attica,Galatsi,,,,True,
470432545,1ο Δημοτικό Γυθείου,Peloponnese,Gytheio,,,,True,
470432767,Β' Δημοτικό Σχολείο Γυθείου,Peloponnese,Gytheio,,,,True,
472199459,9ο Δημοτικό Σχολείο,Central Greece,Chalkida,,,,True,
598279843,47ο Δημοτικό Σχολείο,West Greece,Patra,,,,True,
614434805,105ο Δημοτικό Σχολείο Θεσσαλονίκης,Central Macedonia,Triandria,,,,True,
707055167,2o Δημοτικό Σχολείο Σίνδου,Central Macedonia,Sindos,,,,True,
932474456,2ο Δημοτικό Σχολείο Λαγκαδά,Central Macedonia,Lagkadas,,,,True,
980126207,101ο Δημοτικό Σχολείο Θεσσαλονίκης,Central Macedonia,Triandria,,,,True,
1000666668,13ο Δημοτικό Σχολείο Κερατσινίου,Attica,Drapetsona,,,,True,
1000666675,21ο Δημοτικό Σχολείο Κερατσινίου,Attica,Drapetsona,,,,True,
1001073079,Δημοτικό Σχολείο Βεύης,West Macedonia,Meliti,,,,True,
1045554483,Δημοτικό Σχολείο Νεάπολης,West Greece,Neapolis,,,,True,
1105389201,"45ο, 122ο Δημοτικά Σχολεία",Attica,Kipseli,,,,True,
1150727458,4ο Δημοτικό,Attica,Agia Varvara,,,,True,
1150727498,6ο Δημοτικό,Attica,Agia Varvara,,,,True,
1150727515,2ο Δημοτικό,Attica,Agia Varvara,,,,True,
1152978967,2ο Δημοτικό,Attica,Glyfada,,,,True,
1185364881,Δημοτικό Σχολείο Κοντοκαλίου,Ionian Islands,Kontokali,,,,True,
1201058257,21o Δημοτικό Σχολείο Θεσσαλονίκης (Τενεκεδένιο),Central Macedonia,Triandria,,,,True,
1201225878,Δημοτικό Σχολείο,Central Macedonia,Triandria,,,,True,
1201225880,115o Δημοτικό Σχολείο Θεσσαλονίκης,Central Macedonia,Triandria,,,,True,
1249669035,3ο Δημοτικό Σχολείο Αργοστολίου,Ionian Islands,Argostolion,,,,True,
1249671145,2ο Δημοτικό Σχολείο Αργοστολίου,Ionian Islands,Argostolion,,,,True,
1249671146,4o Δημοτικό Σχολείο Αργοστολίου,Ionian Islands,Argostolion,,,,True,
1249671149,1ο Δημοτικό Σχολείο Αργοστολίου,Ionian Islands,Argostolion,,,,True,
1424049722,102ο Δημοτικό Σχολείο,Attica,Kipseli,,,,True,
1424049745,121ο Δημοτικό Σχολείο,Attica,Kipseli,,,,True,
1440913221,2ο Δημοτικό Σχολείο Ελευθερούπολης,East Macedonia and Thrace,Eleftheroupolis,,,,True,
1514622768,Δημοτικό Ωδείο Αμπελοκήπων,Central Macedonia,Ampelokipoi,,,,True,
1523239730,1ο - 5ο Δημοτικά Σχολεία Συκεών,Central Macedonia,Sykies,,,,True,
1705804985,6ο Δημοτικό Σχολείο,West Greece,Pyrgos,,,,True,
1710087454,Δημοτικό Σχολείο Τσαριτσάνης,Thessaly,Tsaritsani,,,,True,
1728594010,9ο Δημοτικό Σχολείο Κιλκίς,Central Macedonia,Kilkis,,,,True,
1747278748,Ράλλεια Πειραματικά Δημοτικά Σχολεία,Attica,"Αλεξάνδρου, Moskhaton",,,,True,
1747279317,36o Δημοτικό Σχολείο Πειραιά,Attica,Moskhaton,,,,True,
1747279318,35ο Δημοτικό Σχολείο Πειραιά,Attica,Moskhaton,,,,True,
1753716656,Δημοτικό σχολείο Αγίου Δημητρίου,Central Greece,Orchomenos,,,,True,
1754297717,2ο Δημοτικό Σχολείο,Central Macedonia,Chalastra,,,,True,
1756533123,5o Δημοτικο Σχολείο,Attica,Megara,,,,True,
1758206394,1ο Δημοτικό Σχολείο Σίνδου,Central Macedonia,Sindos,,,,True,
1868247843,1ο Δημοτικό Σχολείο Πρέβεζας,Epirus,Preveza,,,,True,
1869970575,Δημοτικό Σχολείο Παντοκράτορα,Epirus,Preveza,,,,True,
1883437248,Δημοτικό Σχολείο Ασωμάτων,Central Macedonia,Ασώματα,,,,True,
