id,الاسم,الاسم_بالانجليزي,نوع_الملكية,المرحلة_الدراسية,نوع_المنشأة,المحافظة,القضاء,الناحية,adm4,المدينة,العنوان,خط_الطول,خط_العرض,adm0_pcode,adm1_pcode,adm2_pcode,adm3_pcode,adm4_pcode,المصدر
node/11951801330,مدرسة الوركاء الأبتدائية للبنات,,غير محددة,ابتدائية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7732405,30.4959829,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11951801328,ثانوية الوركاء للبنات,,غير محددة,ثانوية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7719517,30.4957827,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11951801329,متوسطة الربيع للبنات,,غير محددة,متوسطة,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7722592,30.4959398,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11951801332,Aden School,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7709894,30.4930052,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11292066647,متوسطة صاحبة اللواء للبنات,,غير محددة,متوسطة,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,الحيانية,,47.7704073,30.4909813,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/1216203524,,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,"[[47.7700877, 30.4908568], [47.7703834, 30.4910046], [47.7707126, 30.4911691], [47.771169, 30.4904838], [47.7705441, 30.4901799], [47.7700877, 30.4908568]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11292066646,مدرسة علي بن يقطين الابتدائية للبنين,,غير محددة,ابتدائية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,الحيانية,,47.7716727,30.4896296,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/1216203529,,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,"[[47.7715597, 30.4895952], [47.7719451, 30.489022], [47.7726206, 30.4893592], [47.7722352, 30.4899324], [47.7715597, 30.4895952]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/1216203528,متوسطة الأوسمة للبنين,,غير محددة,متوسطة,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,"[[47.7714444, 30.4879014], [47.772014, 30.4871025], [47.7715379, 30.4868595], [47.7709628, 30.4876683], [47.7714444, 30.4879014]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/1216203526,مدرسة أزهار الغد الابتدائية للبنات,,غير محددة,ابتدائية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,"[[47.7714444, 30.4879014], [47.7718604, 30.4881181], [47.7722493, 30.4883207], [47.772812, 30.4875258], [47.772014, 30.4871025], [47.7714444, 30.4879014]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11951801331,مدرسة اقرأ الابتدائية للبنين,,غير محددة,ابتدائية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7675213,30.4889633,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/414420695,مدرسة الشفق الابتدائية للبنين,,غير محددة,ابتدائية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,الثالثة,,"[[47.7809045, 30.4904394], [47.7813003, 30.4898354], [47.7805928, 30.4894725], [47.7801728, 30.4900846], [47.7809045, 30.4904394]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/414420694,مدرسة,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,"[[47.781595, 30.4890296], [47.7810855, 30.4887932], [47.7814074, 30.4883309], [47.7818892, 30.4885747], [47.781595, 30.4890296]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/412646452,مدرسة المصير الواحد,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,الحيانية,,"[[47.7769659, 30.4963245], [47.7763363, 30.4960143], [47.7767136, 30.4954457], [47.7773433, 30.4957559], [47.7769659, 30.4963245]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/4970699321,مدرسة الريادة الاهلية,alryadah private school,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7831184,30.4983797,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/412646456,مدرسة التجديد,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,الثالثة,,"[[47.7805784, 30.4908485], [47.7808013, 30.4905234], [47.7802365, 30.4902358], [47.7800136, 30.4905609], [47.7805784, 30.4908485]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/412646457,ام حبيب الانصاريه,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,الحيانية,,"[[47.7834725, 30.4920081], [47.7839872, 30.4912635], [47.7833556, 30.4909475], [47.78286, 30.4916983], [47.7834725, 30.4920081]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/412646455,مدرسة فتح الابتدائية,,غير محددة,ابتدائية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,"[[47.7832099, 30.4923952], [47.7834725, 30.4920081], [47.78286, 30.4916983], [47.7825935, 30.4920803], [47.7832099, 30.4923952]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/414420692,مدرسة البيتول للبنات,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,الحيانية,,"[[47.7838375, 30.4910074], [47.7840793, 30.4905619], [47.7837154, 30.4903859], [47.7834376, 30.4908076], [47.7838375, 30.4910074]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/6257440688,ابتدائية الرسالة,,غير محددة,ابتدائية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.784038,30.4903313,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
