Total Enrolment in Mainstream National Schools by Standard (Incl. Special Classes),,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,County Description,Local Authority Description,DEIS (Y/N),Gaeltacht Indicator (Y/N),Ethos Description,Junior Infants,Senior Infants,First Class,Second Class,Third Class,Fourth Class,Fifth Class,Sixth Class,Special Class,Enrolment per Return
2024,00359V,ST. LOUIS GIRLS NATIONAL SCHOOL,Monaghan,Monaghan County Council,Y,N,Catholic,,,,37,49,36,40,39,,201
2024,00373P,DERAVOY NATIONAL SCHOOL,Monaghan,Monaghan County Council,Y,N,Catholic,12,9,8,11,10,4,10,11,,75
2024,00467B,BALLINSPITTLE N S,Cork,Cork County Council,N,N,Catholic,23,19,22,25,24,20,28,23,,184
2024,00512D,MIDLETON CONVENT N S,Cork,Cork County Council,N,N,Catholic,39,37,31,25,33,25,32,30,36,288
2024,00538V,CLOCHAR DAINGEAN,Kerry,Kerry County Council,N,Y,Catholic,23,23,22,14,8,19,16,13,,138
2024,00606M,MONARD N S,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,15,15,13,16,9,19,8,13,,108
2024,00651R,BORRIS MXD N S,Carlow,Carlow County Council,N,N,Catholic,23,19,27,21,27,27,24,30,,198
2024,00697S,ST BRIGIDS MXD N S,Dublin,Fingal County Council,N,N,Catholic,102,108,100,105,111,113,113,115,11,878
2024,00714P,LUCAN B N S,Dublin,South Dublin County Council,N,N,Catholic,57,52,60,53,77,80,57,73,6,515
2024,00729F,CLOCHAR LORETO N S,Dublin,South Dublin County Council,N,N,Catholic,59,54,56,48,55,67,51,69,9,468
2024,00752A,CENTRAL SENIOR MXD N S,Dublin,Dublin City Council,Y,N,Catholic,,,,53,50,52,45,42,,242
2024,00779U,PRESENTATION GIRLS PRIMARY SCHOOL,Kildare,Kildare County Council,N,N,Catholic,84,64,76,68,82,82,92,79,6,633
2024,00788V,LISDOWNEY N S,Kilkenny,Kilkenny County Council,N,N,Catholic,10,15,13,11,8,14,10,12,6,99
2024,00796U,SCOIL LACHTAIN,Kilkenny,Kilkenny County Council,Y,N,Catholic,23,17,21,17,32,28,25,20,18,201
2024,00851C,PRESENTATION CONVENT,Louth,Louth County Council,Y,N,Catholic,46,44,47,41,49,38,40,45,,350
2024,00856M,SCOIL NAOMH MICHEAL,Longford,Longford County Council,Y,N,Catholic,,,,48,36,47,44,59,,234
2024,00860D,FORGNEY N S,Longford,Longford County Council,N,N,Catholic,3,2,1,2,2,3,5,4,,22
2024,00883P,AINE NAOFA N S,Meath,Meath County Council,Y,N,Catholic,45,25,50,27,27,49,47,27,7,304
2024,00885T,RATOATH JUNIOR N S,Meath,Meath County Council,N,N,Catholic,63,53,64,64,,,,,,244
2024,00892Q,SHANGANAMORE N S,Laois,Laois County Council,N,N,Catholic,13,7,10,7,16,8,18,13,11,103
2024,00895W,BALLINAKILL MIXED N S,Laois,Laois County Council,N,N,Catholic,14,10,15,10,11,17,12,9,,98
2024,00934G,PRESENTATION CONVENT (JNR),Westmeath,Westmeath County Council,Y,N,Catholic,68,66,68,79,,,,,3,284
2024,00941D,S N BHRIDE,Westmeath,Westmeath County Council,N,N,Catholic,2,3,2,2,2,4,5,4,,24
2024,00973Q,GRANGE CON N S,Wicklow,Wicklow County Council,N,N,Catholic,2,3,,,7,2,5,,,19
2024,00977B,BALLYCONNELL N S,Carlow,Carlow County Council,N,N,Catholic,25,20,27,26,24,18,26,25,12,203
2024,00984V,GLENEALY 1 N S,Wicklow,Wicklow County Council,Y,N,Catholic,9,16,9,11,23,9,23,13,,113
2024,01000E,ESKER N S,Galway,Galway County Council,N,N,Catholic,8,6,5,4,9,13,13,14,,72
2024,01013N,SCOIL CROI IOSA,Galway,Galway City Council,Y,N,Catholic,14,17,18,18,16,16,18,19,,136
2024,01086R,S N POL NAOFA,Roscommon,Roscommon County Council,Y,N,Catholic,,,,10,8,14,12,10,,54
2024,01116A,BAILE AN CHUILINN N S,Carlow,Carlow County Council,N,N,Catholic,10,19,16,21,15,19,13,13,,126
2024,01125B,LEITRIM MXD N S,Leitrim,Leitrim County Council,N,N,Catholic,26,25,27,28,30,25,30,27,,218
2024,01170G,S N na hAille,Dublin,Fingal County Council,N,N,Catholic,14,16,20,22,21,19,18,14,12,156
2024,01215C,NEWTOWN DUNLECKNEY MXD,Carlow,Carlow County Council,N,N,Catholic,14,17,20,20,18,17,20,19,,145
2024,01272O,S N CHUAN DOIR,Cork,Cork County Council,N,N,Catholic,2,5,8,8,16,7,11,13,6,76
2024,01285A,TIPPERARY JNR BN S,Tipperary,Tipperary (Sr) County Council,Y,N,Catholic,28,38,41,,,,,,,107
2024,01300Q,ST MICHAELS NATIONAL SCHOOL,Kilkenny,Kilkenny County Council,N,N,Catholic,6,11,12,10,11,7,5,3,,65
2024,01309L,STACKALLEN N S,Meath,Meath County Council,N,N,Catholic,15,21,22,20,22,27,21,25,,173
2024,01328P,KILTORMER N S,Galway,Galway County Council,N,N,Catholic,16,18,15,9,11,9,5,5,,88
2024,01356U,KILNALECK MIXED N S,Cavan,Cavan County Council,Y,N,Catholic,7,14,11,15,12,18,21,12,,110
2024,01395H,AGLISH N S,Waterford,Waterford County Council,N,N,Catholic,7,9,12,9,11,11,12,10,,81
2024,01396J,TULLOHA NATIONAL SCHOOL,Kerry,Kerry County Council,N,N,Catholic,3,2,4,2,2,3,4,3,,23
2024,01415K,RATHOE NS,Carlow,Carlow County Council,N,N,Catholic,20,28,17,16,13,21,19,17,17,168
2024,01421F,KILSKYRE MIXED N S,Meath,Meath County Council,N,N,Catholic,11,7,5,9,13,10,13,8,12,88
2024,01434O,S N COLUMCILLE,Louth,Louth County Council,N,N,Catholic,12,18,15,13,15,24,19,19,24,159
