学校コード (Code école),学校名 (Nom école),都道府県番号 (N° préfecture),都道府県名 (Préfecture),学校所在地 (Adresse),郵便番号 (Code postal),設置区分 (Type gestion),設置区分名 (Gestion),本分校 (Statut),本分校区分 (Statut nom),学校種 (Type école),属性情報設定年月日 (Date enregistrement),属性情報廃止年月日 (Date fermeture),旧学校調査番号 (Ancien numéro),移行後の学校コード (Code école successeur)
B101110000010,北海道教育大学附属札幌小学校,01(北海道),北海道,北海道札幌市北区あいの里５－３－１－１０,28075,1(国),国,1(本),本,B1(小学校),2020/12/22,,010001,
B101110000029,北海道教育大学附属函館小学校,01(北海道),北海道,北海道函館市美原３－４８－６,410806,1(国),国,1(本),本,B1(小学校),2020/12/22,,010002,
B101110000038,北海道教育大学附属旭川小学校,01(北海道),北海道,北海道旭川市春光４条１丁目１ー１,700874,1(国),国,1(本),本,B1(小学校),2020/12/22,,010003,
B101110000047,北海道教育大学附属釧路小学校,01(北海道),北海道,北海道釧路市桜ヶ岡７－１２－４８,850805,1(国),国,9(廃),廃,B1(小学校),2020/12/22,2021/5/27,010004,C201110000017
B101210110042,札幌市立中央小学校,01(北海道),北海道,北海道札幌市中央区大通東６丁目１２番地,600041,2(公),公,1(本),本,B1(小学校),2020/12/22,,010015,
B101210110051,札幌市立山鼻小学校,01(北海道),北海道,北海道札幌市中央区南１４条西１０丁目１番地,640914,2(公),公,1(本),本,B1(小学校),2020/12/22,,010018,
B101210110060,札幌市立幌西小学校,01(北海道),北海道,北海道札幌市中央区南１０条西１７丁目１番１号,640810,2(公),公,1(本),本,B1(小学校),2020/12/22,,010021,
B101210110079,札幌市立桑園小学校,01(北海道),北海道,北海道札幌市中央区北８条西１７丁目１,600008,2(公),公,1(本),本,B1(小学校),2020/12/22,,010023,
B101210110088,札幌市立幌南小学校,01(北海道),北海道,北海道札幌市中央区南２１条西５丁目１－１,640921,2(公),公,1(本),本,B1(小学校),2020/12/22,,010025,
B101210110097,札幌市立円山小学校,01(北海道),北海道,北海道札幌市中央区北１条西２５丁目１－８,640821,2(公),公,1(本),本,B1(小学校),2020/12/22,,010026,
B101210110104,札幌市立二条小学校,01(北海道),北海道,北海道札幌市中央区南２条西１５丁目,600062,2(公),公,1(本),本,B1(小学校),2020/12/22,,010029,
B101210110122,札幌市立日新小学校,01(北海道),北海道,北海道札幌市中央区北８条西２５丁目２番１号,600008,2(公),公,1(本),本,B1(小学校),2020/12/22,,010033,
B101210110131,札幌市立緑丘小学校,01(北海道),北海道,北海道札幌市中央区南十条西２２丁目３‐１,640810,2(公),公,1(本),本,B1(小学校),2020/12/22,,010036,
B101210110140,札幌市立盤渓小学校,01(北海道),北海道,北海道札幌市中央区盤渓２２６番地,640945,2(公),公,1(本),本,B1(小学校),2020/12/22,,010051,
B101210110159,札幌市立宮の森小学校,01(北海道),北海道,北海道札幌市中央区宮の森４条６丁目１番地１,640954,2(公),公,1(本),本,B1(小学校),2020/12/22,,010062,
B101210110168,札幌市立伏見小学校,01(北海道),北海道,北海道札幌市中央区南１８条西１５丁目１番１号,640918,2(公),公,1(本),本,B1(小学校),2020/12/22,,010111,
B101210110177,札幌市立大倉山小学校,01(北海道),北海道,北海道札幌市中央区宮の森３条１３丁目６－２０,640963,2(公),公,1(本),本,B1(小学校),2020/12/22,,012832,
B101210110186,札幌市立三角山小学校,01(北海道),北海道,北海道札幌市中央区宮の森４条１１丁目４－１,640954,2(公),公,1(本),本,B1(小学校),2020/12/22,,012839,
B101210110195,札幌市立山鼻南小学校,01(北海道),北海道,北海道札幌市中央区南２９条西１２丁目１の１,640929,2(公),公,1(本),本,B1(小学校),2020/12/22,,012972,
B101210110202,札幌市立資生館小学校,01(北海道),北海道,北海道札幌市中央区南３条西７丁目,600063,2(公),公,1(本),本,B1(小学校),2020/12/22,,013008,
B101210220012,札幌市立北九条小学校,01(北海道),北海道,北海道札幌市北区北９条西１丁目１,600809,2(公),公,1(本),本,B1(小学校),2020/12/22,,010014,
B101210220021,札幌市立幌北小学校,01(北海道),北海道,北海道札幌市北区北１９条西２丁目１－１,10019,2(公),公,1(本),本,B1(小学校),2020/12/22,,010024,
B101210220030,札幌市立白楊小学校,01(北海道),北海道,北海道札幌市北区北２４条西７丁目１の１,10024,2(公),公,1(本),本,B1(小学校),2020/12/22,,010035,
B101210220049,札幌市立新琴似小学校,01(北海道),北海道,北海道札幌市北区新琴似７条３丁目２番１号,10907,2(公),公,1(本),本,B1(小学校),2020/12/22,,010048,
B101210220058,札幌市立屯田小学校,01(北海道),北海道,北海道札幌市北区屯田７条６丁目２番２号,20857,2(公),公,1(本),本,B1(小学校),2020/12/22,,010050,
B101210220067,札幌市立新川小学校,01(北海道),北海道,北海道札幌市北区新川５条１５丁目１番１号,10925,2(公),公,1(本),本,B1(小学校),2020/12/22,,010052,
B101210220076,札幌市立篠路小学校,01(北海道),北海道,北海道札幌市北区篠路４条９丁目３－１,28024,2(公),公,1(本),本,B1(小学校),2020/12/22,,010057,
B101210220085,札幌市立茨戸小学校,01(北海道),北海道,北海道札幌市北区東茨戸１条２丁目２番１号,28041,2(公),公,1(本),本,B1(小学校),2020/12/22,,010058,
B101210220094,札幌市立鴻城小学校,01(北海道),北海道,北海道札幌市北区あいの里３条６丁目２－１,28073,2(公),公,1(本),本,B1(小学校),2020/12/22,,010061,
B101210220101,札幌市立和光小学校,01(北海道),北海道,北海道札幌市北区北３４条西７丁目３番２号,10034,2(公),公,1(本),本,B1(小学校),2020/12/22,,010087,
B101210220110,札幌市立光陽小学校,01(北海道),北海道,北海道札幌市北区新琴似５条１１丁目４－１,10905,2(公),公,1(本),本,B1(小学校),2020/12/22,,010105,
B101210220129,札幌市立新陽小学校,01(北海道),北海道,北海道札幌市北区北２７条西１４丁目１番１号,10027,2(公),公,1(本),本,B1(小学校),2020/12/22,,010115,
B101210220138,札幌市立新琴似北小学校,01(北海道),北海道,北海道札幌市北区新琴似１１条６丁目１番１号,10911,2(公),公,1(本),本,B1(小学校),2020/12/22,,010118,
B101210220147,札幌市立新川中央小学校,01(北海道),北海道,北海道札幌市北区新川３条３丁目２番１号,10923,2(公),公,1(本),本,B1(小学校),2020/12/22,,010120,
