code_ecole,nom_ecole,nature,autorite,niveau,genre,region,gouvernorat,liwa,qada,adresse,type_zone,periode,directorate,code_directorate
110001,خالد بن الوليد الاساسية للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة اليرموك - الحي:جبل التاج - الشارع:الكواكبي,مدينة,فترة واحدة,قصبة عمان ,1101
110002,الفتح الثانوية الشاملة للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة اليرموك - الحي:جبل التاج - الشارع:قتيبة بن مسلم,مدينة,فترة واحدة,قصبة عمان ,1101
110003,الامير الحسن الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة المدينة - الحي:الخلايلة - الشارع:شاهر مروح السعود,مدينة,فترة واحدة,قصبة عمان ,1101
110004,الاحنف بن قيس الاساسية للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة المدينة - الحي:الصناعة - الشارع:عبد الملك بن مروان,مدينة,فترة واحدة,قصبة عمان ,1101
110005,عمر بن الخطاب الثانوية الشاملة للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة العبدلي - الحي:جبل الحسين - الشارع:خليل السكاكيني,مدينة,فترة واحدة,قصبة عمان ,1101
110006,كلية الحسين الثانويه للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة العبدلي - الحي:جبل الحسين - الشارع:خالد بن الوليد,مدينة,فترة واحدة,قصبة عمان ,1101
110007,ضرار بن الازور الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة العبدلي - الحي:جبل اللويبدة - الشارع:ضرار بن الأزور,مدينة,فترة واحدة,قصبة عمان ,1101
110008,جعفر الطيار الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة اليرموك - الحي:الطفايلة/الجوفة - الشارع:بدوان,مدينة,فترة واحدة,قصبة عمان ,1101
110009,يعقوب هاشم الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة العبدلي - الحي:عرجان - الشارع:هارون الرشيد,مدينة,فترة واحدة,قصبة عمان ,1101
110010,منذر المصري الاساسية للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة المدينة - الحي:الصناعه - الشارع:ابو ذر الغفاري,مدينة,فترة واحدة,قصبة عمان ,1101
110011,سمير الرفاعي الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة العبدلي - الحي:شارع الامير محمد - الشارع:شارع الامير محمد,مدينة,فترة واحدة,قصبة عمان ,1101
110012,عبدالحميد شرف الثانوية الشاملة للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة المدينة - الحي:الصناعة - الشارع:مالك بن عمرو,مدينة,فترة واحدة,قصبة عمان ,1101
110013,الاميرة عالية الثانوية للبنات,publique,وزارة التربية و التعليم,المرحلة الثانوية,اناث,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة العبدلي - الحي:اللويبدة - الشارع:قدري طوقان,مدينة,فترة واحدة,قصبة عمان ,1101
110014,بلاط الشهداء الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة العبدلي - الحي:جبل اللويبدة - الشارع:الملك حسين,مدينة,فترة واحدة,قصبة عمان ,1101
110015,الشميساني الغربي الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة العبدلي - الحي:الشميساني الغربي - الشارع:شارع بلال بن رباح,مدينة,فترة صباحية,قصبة عمان ,1101
110016,حفصة ام المؤمنين الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة اليرموك - الحي:النجادوة - الشارع:دبي,مدينة,فترة واحدة,قصبة عمان ,1101
110017,غزية العامرية الاساسية للبنات,publique,وزارة التربية و التعليم,المرحلة الأساسية,اناث,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة اليرموك - الحي:التاج - الشارع:عبد الرحمن الكواكبي ,مدينة,فترة صباحية,قصبة عمان ,1101
110019,تماضر بنت عمرو الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء قصبة عمان, قصبة عمان,منطقة العبدلي - الحي:جبل الحسين - الشارع:باب الواد/دوار المأمونية,مدينة,فترة صباحية,قصبة عمان ,1101
