nom_etablissement,muhafaza,type,genre
اشبيلية الأبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
الاسراء الأبتدائيه للبنات,العاصمة (Al-Asimah),حكومية,بنات
الدعية الأبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
الدوحة الأبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
لولوة ملا صالح الربيعة الإبتدائية بنات,العاصمة (Al-Asimah),حكومية,بنات
الشاميه الأبتدائية للبنات - المشتركة,العاصمة (Al-Asimah),حكومية,بنات
الصليبيخات الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
الصوابر الإبتدائية للبنات - المشتركة,العاصمة (Al-Asimah),حكومية,بنات
العديلية الابتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
المنصورية الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
النزهة الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
ام عطية الأنصاريه الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
امنة الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
بحره الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
خولة الإبتدائية للبنات - المشتركة,العاصمة (Al-Asimah),حكومية,بنات
درة بنت ابي سلمة الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
ذات الصواري الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
سمية الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
عمره بنت حزم الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
عين جالوت الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
مريم عبدالملك الصالح الإبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
ميسلون الأبتدائية للبنات,العاصمة (Al-Asimah),حكومية,بنات
أسماء بنت عمير الابتدائية بنات,حولي (Hawalli),حكومية,بنات
اروى بنت الحارث الأبتدائية للبنات,حولي (Hawalli),حكومية,بنات
الامة الأبتدائية للبنات,حولي (Hawalli),حكومية,بنات
لبابة بنت الحارث الأبتدائية للبنات,حولي (Hawalli),حكومية,بنات
ام القرى الأبتدائية للبنات,حولي (Hawalli),حكومية,بنات
بيان الإبتدائية للبنات,حولي (Hawalli),حكومية,بنات
جميلة بنت عباد الإبتدائية للبنات,حولي (Hawalli),حكومية,بنات
جويرية بنت الحارث الإبتدائية للبنات,حولي (Hawalli),حكومية,بنات
خديجه بنت خويلد الأبتدائية للبنات,حولي (Hawalli),حكومية,بنات
السلام الأبتدائية للبنات,حولي (Hawalli),حكومية,بنات
الرديفة الأبتدائية للبنات,حولي (Hawalli),حكومية,بنات
عاتكة بنت زيد الإبتدائية للبنات,حولي (Hawalli),حكومية,بنات
