رقم,اسم_المدرسة,المنطقة_التربوية,نوع_التعليم,طبيعة,جنس_الطلاب,العنوان,الهاتف,المالك,اللغة_الأجنبية
1,االورغواي الرسمية المختمطة - االشرفية االولى,بيروت االولى,رسمي,رسمي,مختلطة,االشرفية - العدلية - شارع 09 مختمطة,,,
5,ثانوية جبارن غسان تويني الرسمية ااألولى -األشرفية,بيروت االولى,رسمي,رسمي,مختلطة,االشرفية - شارع اديب اسحق مختمطة,,,
8,ثانوية لور مغيزل الرسمية لمبنات,بيروت االولى,رسمي,رسمي,,االشرفية - الغابة - شارع الشحروري لمبنات,,,
21,متوسطة بيروت العالية الرسمية لمبنات,بيروت الثانية,رسمي,رسمي,مختلطة,خندق الغميق - شارع داوود عمون مختمطة,03384610,الدولة,
61,زقاق الببلط الرسمية المختمطة,بيروت الثانية,رسمي,رسمي,مختلطة,زقاق الببلط - شارع بطرس البستاني مختمطة,,,
91,ثانوية المفتي الشييد حسن خالد الرسمية المختمطة-(حوض الوالية),بيروت الثانية,رسمي,رسمي,مختلطة,برج ابي حيدر - شارع برج ابي حيدر مختمطة,,,
12,وطى المصيطبو الرسمية المختمطة,بيروت الثانية,رسمي,رسمي,مختلطة,وطى المصيطبة - شارع البستاني مختمطة,,,
22,ثانوية زىيو سممان الرسمية (سابقا وطى المصيطبة),بيروت الثانية,رسمي,رسمي,مختلطة,بئر حسن - شارع الشارع المقابل لشركة csT مختمطة 12 43,,,
42,ثانوية فخر الدين المعني الرسمية لمبنات,بيروت الثانية,رسمي,رسمي,,برج ابي حيدر - شارع عبد الغني العريسي لمبنات,,,
52,متوسطة الممك سعود المختمطة,بيروت الثانية,رسمي,رسمي,مختلطة,المزرعة - برج ابي حيدر - شارع المعري مختمطة 3 4,21865610,خاص,
62,االرشاد الرسمية المختمطة,بيروت الثانية,رسمي,رسمي,مختلطة,برج ابي حيدر - شارع مصباح شبقمو مختمطة,,,
03,ثانوية دولة الرئيس رياض الصمح الرسمية المختمطة,بيروت الثانية,رسمي,رسمي,مختلطة,ارس النبع - شارع المحمصاني مختمطة,,,
43,الطريق الجديدة المتوسطة الثانية المختمطة الرسمية,بيروت الثانية,رسمي,رسمي,مختلطة,الممعب - شارع الرواس مختمطة,,,
83,ثانوية جميل رواس الرسمية لمبنين,بيروت الثانية,رسمي,رسمي,,طريق الجديدة - شارع الرواس لمبنين,,,
04,ثانوية عمر فروخ الرسمية لمبنات,بيروت الثانية,رسمي,رسمي,,طريق الجديدة - شارع بولفار المدينة الرياضية لمبنات 31 72,,,
14,ابتياج قدوره المتوسطة المختمطة,بيروت الثانية,رسمي,رسمي,مختلطة,بئر حسن - مقابل المدينة الرياضية مختمطة,93932810,الدولة,
34,الطريق الجديدة الاربعة المختمطة,بيروت الثانية,رسمي,رسمي,مختلطة,الحرش - الطريق الجديدة - شارع حمد مختمطة 2,28704610,خاص,
44,ارس النبع الثانية الرسمية لمبنات,بيروت الثانية,رسمي,رسمي,مختلطة,ارس النبع - شارع محمد الحوت لمبنات,85574610,خاص,
74,البسطة األولى الرسمية المختمطة,بيروت الثانية,رسمي,رسمي,مختلطة,ارس النبع - المزرعة - شارع الشقيف-المتفرع من شارع عمربن خطاب مختمطة,,,
