CCT,NOMBRE,SECTOR,ESTADO,MUNICIPIO,LOCALIDAD,AMBITO,VIALIDAD,NUM_EXT,COLONIA,CP,LATITUD,LONGITUD
01DPR0001V,RODRIGO RINCON GALLARDO,PÚBLICO,AGUASCALIENTES,RINCÓN DE ROMOS,RINCÓN DE ROMOS,URBANO,CALLE ALVARO OBREGON,0,NINGUNO,20408,22.227499,-102.312046
01DPR0002U,ANTONIO VENTURA MEDINA,PÚBLICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,SAN JOSÉ DE GRACIA,URBANO,CALLE CRISTOBAL LANDIN,102,NINGUNO,20500,22.145161,-102.416397
01DPR0003T,BENIGNO CHAVEZ,PÚBLICO,AGUASCALIENTES,JESÚS MARÍA,JESÚS MARÍA,URBANO,AVENIDA SAN LORENZO,0,NINGUNO,0,21.954336,-102.344658
01DPR0005R,15 DE SEPTIEMBRE,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE TENOCHTITLAN,0,CASA BLANCA,20297,21.857052,-102.274114
01DPR0006Q,TIERRA SOLIDARIA,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE 2 AVENIDA SIGLO XXI,0,TIERRA BUENA,20263,21.85968,-102.250393
01DPR0007P,MIGUEL ANGEL BARBERENA VEGA,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE TRABAJO,401,SOLIDARIDAD 1A SECCION,20190,21.870704,-102.24613
01DPR0008O,CUITLAHUAC,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE ARTILLERO MIER MORELOS,0,MORELOS I,20298,21.856891,-102.256287
01DPR0009N,ELOISA BARBOSA CHAVEZ,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE 30 DE JULIO,0,NINGUNO,0,21.851048,-102.266969
01DPR0010C,15 DE SEPTIEMBRE,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE TENOCHTITLAN,0,CASA BLANCA,20297,21.857052,-102.274114
01DPR0013Z,TENOCHTITLAN,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE UXMAL,0,INFONAVIT MORELOS,20270,21.86381,-102.257647
01DPR0014Z,OTTO GRANADOS ROLDAN,PÚBLICO,AGUASCALIENTES,RINCÓN DE ROMOS,RINCÓN DE ROMOS,URBANO,CALLE MANUEL DELGADO,323,NINGUNO,20408,22.223635,-102.328446
01DPR0015Y,SOLIDARIDAD,PÚBLICO,AGUASCALIENTES,JESÚS MARÍA,JESÚS MARÍA,URBANO,CALLE LEONA VICARIO,0,SOLIDARIDAD,20926,21.953631,-102.348619
01DPR0017W,J. REFUGIO MIRANDA AGUAYO,PÚBLICO,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,SAN FRANCISCO DE LOS ROMO,URBANO,CALLE 10 DE NOVIEMBRE,202,28 DE ABRIL,20304,22.06607,-102.264767
01DPR0018V,TENOCHTITLAN,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE UXMAL,0,INFONAVIT MORELOS,20270,21.86381,-102.257647
01DPR0019U,PRIMERO DE MAYO,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE FRANCISCO GUEL JIMENEZ,0,LIC. BENITO PALOMINO DENA,20170,21.915945,-102.251489
01DPR0020J,HUMBERTO RAMIREZ DIAZ,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE SAN PEDRO,0,OJOCALIENTE 3A SECCION,20196,21.876116,-102.244737
01DPR0021I,HUMBERTO RAMIREZ DIAZ,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE SAN PEDRO,0,OJOCALIENTE 3A SECCION,20196,21.876116,-102.244737
01DPR0023G,SIGLO XXI,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE MURGUIA,0,MORELOS,20140,21.85236,-102.257584
01DPR0024F,MIGUEL RICARDO,PÚBLICO,AGUASCALIENTES,ASIENTOS,VILLA JUÁREZ,URBANO,CALLE FRANCISCO I. MADERO,1,AGUA NUEVA,0,22.095562,-102.069671
01DPR0025E,DAVID DIOSDADO PALAFOX,PÚBLICO,AGUASCALIENTES,JESÚS MARÍA,JESÚS MARÍA,URBANO,CALLE IGNACIO LOPEZ RAYON,0,LOS ARROYITOS,20923,21.963717,-102.338246
01DPR0026D,SIGLO XXI,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE MURGUIA,0,MORELOS,20140,21.85236,-102.257584
01DPR0027C,PRIMERO DE MAYO,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE FRANCISCO GUEL JIMENEZ,0,LIC. BENITO PALOMINO DENA,20170,21.915945,-102.251489
01DPR0028B,TIERRA SOLIDARIA,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE 2 AVENIDA SIGLO XXI,0,TIERRA BUENA,20263,21.85968,-102.250393
01DPR0031P,JOSE EFREN GARCIA ESPARZA,PÚBLICO,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,SAN FRANCISCO DE LOS ROMO,URBANO,CALLE PARAISO,101,CEDROS,0,22.070852,-102.272081
01DPR0032O,JUAN RULFO,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE LA MANZANA,110,OJOCALIENTE 3A SECCION,20196,21.88301,-102.24727
01DPR0033N,ALFONSO REYES,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,AVENIDA MIGUEL ANGEL BARBERENA VEGA,0,MUNICIPIO LIBRE,20199,21.897747,-102.251527
01DPR0034M,ALFONSO REYES,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,AVENIDA MIGUEL ANGEL BARBERENA VEGA,0,MUNICIPIO LIBRE,20199,21.897747,-102.251527
01DPR0036K,RUFINO TAMAYO,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE MA. ELENA TORRES,102,RODOLFO LANDEROS GALLEGOS,20170,21.901864,-102.257095
01DPR0037J,GERARDO MARIN MARTINEZ,PÚBLICO,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,SAN FRANCISCO DE LOS ROMO,URBANO,CALLE PARAISO,101,CEDROS,0,22.070852,-102.272081
01DPR0038I,JUAN RULFO,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE LA MANZANA,110,OJOCALIENTE 3A SECCION,20196,21.88301,-102.24727
01DPR0039H,RUFINO TAMAYO,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE MA. ELENA TORRES,102,RODOLFO LANDEROS GALLEGOS,20170,21.901864,-102.257095
01DPR0040X,SALVADOR NOVO,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,LOS PARGAS [RANCHO],RURAL,NINGUNO NINGUNO,0,NINGUNO,20340,21.811944,-102.255556
01DPR0041W,JOSE GUADALUPE POSADA AGUILAR,PÚBLICO,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,MACARIO J. GÓMEZ [COLONIA],URBANO,CALLE FRANCISCO PONCE,0,NINGUNO,20320,21.980556,-102.251389
01DPR0042V,ANTONIO ARIAS BERNAL,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,ARDILLAS DE ABAJO (LAS ARDILLAS),RURAL,NINGUNO NINGUNO,0,NINGUNO,20280,21.945278,-102.192222
01DPR0044T,MIGUEL ALEMAN,PÚBLICO,AGUASCALIENTES,PABELLÓN DE ARTEAGA,MIGUEL ALEMÁN [SECADORA],RURAL,CALLE MIGUEL ALEMAN,204,NINGUNO,20660,22.127222,-102.285556
01DPR0045S,JOSE F. ELIZONDO,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,AVENIDA POLIDUCTO MANZANA,16,RODOLFO LANDEROS GALLEGOS,20170,21.90518,-102.249435
01DPR0046R,OCTAVIO PAZ,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE LOS ARBOLITOS,201,LAS CUMBRES,20179,21.909967,-102.263137
01DPR0047Q,EDUARDO J. CORREA,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE PASTORES,0,MUNICIPIO LIBRE,20199,21.895042,-102.261678
01DPR0048P,RAMON LOPEZ VELARDE,PÚBLICO,AGUASCALIENTES,PABELLÓN DE ARTEAGA,PABELLÓN DE ARTEAGA,URBANO,CALLE NARCISO PERALES AVILA,0,PLUTARCO ELIAS CALLES,20660,22.145754,-102.287065
01DPR0049O,JOSE ISABEL RODRIGUEZ MONTOYA,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,OJO DE AGUA DE PALMITAS,RURAL,CALLE MA. ISABEL,0,NINGUNO,20260,21.860833,-102.228056
01DPR0050D,FRANCISCO DE QUEVEDO Y VILLEGAS,PÚBLICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,URBANO,CALLE MANZANA,8,OJOCALIENTE LAS TORRES,20256,21.874407,-102.258159
