NSRId,OrgNr,Navn,Karakteristikk,FulltNavn,KommuneNavn,Epost,ErAktiv,ErSkole,ErSkoleEier,ErGrunnSkole,ErPrivatSkole,ErOffentligSkole,ErVideregaaendeSkole,VisesPaaWeb,KommuneNr,FylkeNr,EndretDato
1011022,U90099016,The Norwegian School,,The Norwegian School ,"Utlandet, uspesifisert",,False,True,False,False,True,False,False,True,2599,25,2013-09-19T11:18:18.227+00:00
1011021,U90099011,Mission Protestante Norvegienne,Bafoulable,Mission Protestante Norvegienne Bafoulable,"Utlandet, uspesifisert",,False,True,False,False,True,False,False,True,2599,25,2013-09-19T11:19:58.09+00:00
1011020,U90099010,Ecole Norvégienne  Mission Norvégienne,,Ecole Norvégienne  Mission Norvégienne ,"Utlandet, uspesifisert",,False,True,False,False,True,False,False,True,2599,25,2013-09-19T11:22:15.613+00:00
1028287,988005886,Surnadal kommune Bæverfjord skule,,Surnadal kommune Bæverfjord skule ,Surnadal,,False,False,False,False,False,False,False,True,1566,15,2019-08-14T08:03:36.923+00:00
1028288,988005908,Surnadal kommune Bøfjorden Oppvekst Senter,,Surnadal kommune Bøfjorden Oppvekst Senter ,Surnadal,,False,False,False,False,False,False,False,True,1566,15,2019-08-14T08:03:37.077+00:00
1028289,988005940,Surnadal kommune Mo skule,,Surnadal kommune Mo skule ,Surnadal,,False,False,False,False,False,False,False,True,1566,15,2019-08-14T08:03:37.217+00:00
1028290,988006025,Surnadal kommune Stangvik skule,,Surnadal kommune Stangvik skule ,Surnadal,,False,False,False,False,False,False,False,True,1566,15,2019-08-14T08:03:37.367+00:00
1028291,988006068,Surnadal kommune Todalen skule,,Surnadal kommune Todalen skule ,Surnadal,,False,False,False,False,False,False,False,True,1566,15,2019-08-14T08:03:37.553+00:00
1028292,988006106,Surnadal kommune Øye skule,,Surnadal kommune Øye skule ,Surnadal,,False,False,False,False,False,False,False,True,1566,15,2019-08-14T08:03:37.683+00:00
1028293,988006130,Surnadal kommune Surnadal Ungdoms skule,,Surnadal kommune Surnadal Ungdoms skule ,Surnadal,,False,False,False,False,False,False,False,True,1566,15,2019-08-14T08:03:37.847+00:00
1028294,988186465,Nygård skole,,Nygård skole ,Søgne,,False,False,False,False,False,False,False,True,1018,10,2019-08-14T08:03:38.647+00:00
1028295,988186635,Lunde skole,,Lunde skole ,Søgne,,False,False,False,False,False,False,False,True,1018,10,2019-08-14T08:03:38.817+00:00
1028296,988186813,Langnes skole,,Langnes skole ,Søgne,,False,False,False,False,False,False,False,True,1018,10,2019-08-14T08:03:39.053+00:00
1028297,988186929,Tånevig skole,,Tånevig skole ,Søgne,,False,False,False,False,False,False,False,True,1018,10,2019-08-14T08:03:39.217+00:00
1028298,988187003,Tangvall skole,,Tangvall skole ,Søgne,,False,False,False,False,False,False,False,True,1018,10,2019-08-14T08:03:39.367+00:00
1028299,988187089,Tinntjønn skole,,Tinntjønn skole ,Søgne,,False,False,False,False,False,False,False,True,1018,10,2019-08-14T08:03:39.533+00:00
1028301,988262773,Hammerfest kommune Resultatenheter,,Hammerfest kommune Resultatenheter ,Hammerfest - Hámmerfeasta,,False,False,False,False,False,False,False,True,2004,20,2019-08-14T08:03:39.947+00:00
1028302,990923647,Aremark kommune Kultur,,Aremark kommune Kultur ,Aremark,,False,False,False,False,False,False,False,True,0118,01,2019-08-14T08:03:41.423+00:00
1028303,993106984,Risør kommune ungdomsskole og voksenopplæring,,Risør kommune ungdomsskole og voksenopplæring ,Risør,,False,False,False,False,False,False,False,True,0901,09,2019-11-12T07:01:45.177+00:00
