nom_ar,nom_en,muhafaza_ar,muhafaza_en,wilaya_ar,wilaya_en,type
فاطمه بنت حزام (ام البنين) للتعليم الاساسى الصفوف(1-10),Fatima bent Hozam,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
ادم للتعليم الاساسى للبنين الصفوف (5- 10),adam,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
البشائــر للتعليم الاساسى الصفوف (1-10),al basheer,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
الغيظرانه للتعليم الاساسى الصفوف (1-12),al gaidhranah,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
المورد للتعليم الاساسى الصفوف (1-4),al maered,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
النجباء للتعليم الاساسى الصفوف (1-4),al nagbaa,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
الشيماء للبنات الصفوف (11-12),al shaimaa,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
الزاهيه للتعليم الاساسى الصفوف (1-12),al zahia,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
اسامه بن زيد للتعليم الاساسى للبنين الصفوف (10-12),ausama bin zaid,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
قرن العلــم للتعليم الاساسى الصفوف (1-12),qarn al alam,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
راس الجبـــــل للتعليم الاساسى الصفوف (1-12),raas al jabal,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
صفيــه ام المؤمنيــن للتعليم الاساسى للبنات الصفوف (5-10),safya umm al muamnin,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
وادى حلفين للتعليم الاساسى الصفوف (1-10),wadi helfen,محافظة الداخلية,Ad Dakhiliyah,أدم,,حكومية / Public
مدرسة الغصون الخضراء الخاصة,Al Ghoson Al Khadra Private School,محافظة الداخلية,Ad Dakhiliyah,ازكـي,Izki,خاصة / Private
مدرسة ألوان التميز الخاصة,Alwan Al-Tamayuz Private School,محافظة الداخلية,Ad Dakhiliyah,ازكـي,Izki,خاصة / Private
الشيخ شامس بن حسن العامرى للتعليم الاساسى للبنين الصفوف(10-12),Sheikh Shams Bin Hassan Al-Amiri,محافظة الداخلية,Ad Dakhiliyah,ازكـي,,حكومية / Public
مدرسة الطالب الذكي الخاصة - فرع أزكي,Smart Student Private School - Izki Branch,محافظة الداخلية,Ad Dakhiliyah,ازكـي,Izki,خاصة / Private
الطوق للتعليم الاساسى الصفوف(1-9),TOWQ basic eduction,محافظة الداخلية,Ad Dakhiliyah,ازكـي,,حكومية / Public
الاجيال السعيده للتعليم الاساسى الصفوف (1-4),al ajyal al saeda,محافظة الداخلية,Ad Dakhiliyah,ازكـي,,حكومية / Public
الازهر بن محمد الازكوى للتعليم الاساسى للبنين الصفوف (5-9),al azhar bin mohammed al azkawi,محافظة الداخلية,Ad Dakhiliyah,ازكـي,,حكومية / Public
البوارق للتعليم الاساسى الصفوف (1-4),al bawareq,محافظة الداخلية,Ad Dakhiliyah,ازكـي,,حكومية / Public
الفضل بن الحوارى للتعليم الاساسى للبنين الصفوف (5-10),al fadhil bin al hawari,محافظة الداخلية,Ad Dakhiliyah,ازكـي,,حكومية / Public
المواهب للتعليم الاساسى الصفوف (1-4),al mawaheb,محافظة الداخلية,Ad Dakhiliyah,ازكـي,,حكومية / Public
