"Numer RSPO";"REGON";"NIP";"Typ";"Nazwa";"Kod terytorialny województwo";"Kod terytorialny powiat";"Kod terytorialny gmina";"Kod terytorialny miejscowość";"Kod terytorialny ulica";"Województwo";"Powiat";"Gmina";"Miejscowość";"Rodzaj miejscowości";"Ulica";"Numer budynku";"Numer lokalu";"Kod pocztowy";"Poczta";"Telefon";"Faks";"E-mail";"Strona www";"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Data założenia";"Data rozpoczęcia działalności";"Data likwidacji";"Typ organu prowadzącego";"Nazwa organu prowadzącego";"REGON organu prowadzącego";"NIP organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego";"Miejsce w strukturze";"RSPO podmiotu nadrzędnego";"Typ podmiotu nadrzędnego";"Nazwa podmiotu nadrzędnego";"Liczba uczniów";"Tereny sportowe";"Języki nauczane";"Czy zatrudnia logopedę";"Czy zatrudnia psychologa";"Czy zatrudnia pedagoga";"Oddziały podstawowe wg specyfiki";"Oddziały dodatkowe";"Zawód";"Zawód artystyczny";"Zawód w KPSS";"Dziedzina BCU"
"128458";"=""362290434""";"";"Szkoła podstawowa";"""AKADEMIA DZIECKA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA";"=""14""";"=""1418""";"=""1418032""";"=""0004972""";"=""17248""";"MAZOWIECKIE";"piaseczyński";"Lesznowola";"Nowa Wola";"wieś";"ul. Postępu";"=""102""";"";"=""05-515""";"Nowa Wola";"=""608622922""";"";"sekretariat@akademiadziecka.waw.pl";"www.akademiadziecka.waw.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"JADWIGA GOLEC";"2015.08.17";"2015.09.01";"";"Fundacje";"FUNDACJA AKADEMIA DZIECKA";"=""540343348""";"=""1231570301""";"MAZOWIECKIE";"piaseczyński";"Lesznowola";"samodzielna";"";"";"";"108";"";"angielski, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"128936";"=""362439132""";"";"Szkoła podstawowa";"""AKADEMIA PITAGORASA"" PUBLICZNA SZKOŁA PODSTAWOWA W BARANOWIE";"=""30""";"=""3021""";"=""3021172""";"=""0597280""";"=""16455""";"WIELKOPOLSKIE";"poznański";"Tarnowo Podgórne";"Baranowo";"wieś";"ul. Platynowa";"=""1""";"";"=""62-081""";"Przeźmierowo";"=""733186986""";"";"j.cebernik@gmail.com";"";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"JOANNA CEBERNIK";"2015.09.07";"2015.09.07";"";"Osoba fizyczna";"CEBERNIK JOANNA";"";"";"WIELKOPOLSKIE";"poznański";"Tarnowo Podgórne";"samodzielna";"";"";"";"295";"";"angielski, hiszpański, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"128465";"=""362290517""";"";"Szkoła podstawowa";"""AKADEMIA ROSENBERGA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA";"=""14""";"=""1418""";"=""1418032""";"=""0004883""";"=""10591""";"MAZOWIECKIE";"piaseczyński";"Lesznowola";"Łoziska";"wieś";"ul. Kwitnącej Wiśni";"=""13""";"";"=""05-506""";"Lesznowola";"=""696068488""";"";"sekretariat@akademiarosenberga.pl";"akademiarosenberga.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"AGNIESZKA SATALECKA";"2015.08.17";"2015.09.01";"";"Przedsiębiorstwa Osób Fizycznych";"EDUKACJA WZBOGACAJĄCA ŻYCIE AGNIESZKA SATALECKA";"=""141541347""";"=""7971509477""";"MAZOWIECKIE";"piaseczyński";"Lesznowola";"samodzielna";"";"";"";"124";"boiska uniwersalne/wielozadaniowe";"angielski, hiszpański";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"104649";"=""146445482""";"=""5342483079""";"Szkoła podstawowa";"""AZYMUT"" SZKOŁA PODSTAWOWA FUNDACJI STERNIK";"=""14""";"=""1421""";"=""1421021""";"=""0921510""";"=""21071""";"MAZOWIECKIE";"pruszkowski";"Pruszków";"Pruszków";"miasto";"ul. Stanisława Staszica";"=""1""";"";"=""05-800""";"Pruszków";"=""509000081""";"";"sekretariat@azymut.edu.pl";"http://azymut.edu.pl/";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"MONIKA ŚWIDERSKA";"2010.08.31";"2010.09.01";"";"Fundacje";"""FUNDACJA STERNIK-WARSZAWA ZACHÓD""";"=""145877890""";"";"MAZOWIECKIE";"pruszkowski";"Pruszków";"samodzielna";"";"";"";"375";"boiska do piłki nożnej, bieżnie proste";"angielski, hiszpański";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"128589";"=""362332664""";"=""1182225974""";"Szkoła podstawowa";"""BIG BEN"" NIEPUBLICZNA POLSKO-BRYTYJSKA SZKOŁA PODSTAWOWA IM. GENERAŁA WŁADYSŁAWA ANDERSA";"=""14""";"=""1432""";"=""1432072""";"=""0008898""";"=""23682""";"MAZOWIECKIE";"warszawski zachodni";"Stare Babice";"Lubiczów";"wieś";"ul. Warszawska";"=""57""";"";"=""05-082""";"Lubiczów";"=""517951287""";"";"a.perkowska@big-ben.edu.pl";"www.big-ben.edu.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ALEKSANDRA PERKOWSKA";"2015.02.02";"2015.09.01";"";"Spółki Handlowe";"NOVA SZKOŁA  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""389362285""";"=""1182225974""";"MAZOWIECKIE";"warszawski zachodni";"Stare Babice";"samodzielna";"";"";"";"140";"boiska uniwersalne/wielozadaniowe";"angielski, hiszpański";"Tak";"Nie";"Tak";"ogólnodostępny";"";"";"";"";""
"30613";"=""221764060""";"";"Szkoła podstawowa";"""FREGATA"" SZKOŁA PODSTAWOWA DLA CHŁOPCÓW";"=""22""";"=""2261""";"=""2261011""";"=""0933016""";"=""03906""";"POMORSKIE";"Gdańsk";"Gdańsk";"Gdańsk";"miasto";"ul. Do Studzienki";"=""38""";"";"=""80-227""";"Gdańsk";"=""512149033""";"";"szkola@fregata.edu.pl";"szkoladlachlopcow.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"PAWEŁ KUNDA";"2010.09.27";"2010.09.27";"";"Stowarzyszenia";"STOWARZYSZENIE EDUKACYJNE FREGATA";"=""192737272""";"=""5842468315""";"POMORSKIE";"Gdańsk";"Gdańsk";"samodzielna";"";"";"";"131";"";"angielski, hiszpański";"Tak";"Tak";"Nie";"ogólnodostępny";"Grupa nauczania języka mniejszości";"";"";"";""
"89650";"=""146416121""";"=""7582351964""";"Szkoła podstawowa";"""KOLOROWA SZKOŁA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA";"=""14""";"=""1461""";"=""1461011""";"=""0966079""";"=""17394""";"MAZOWIECKIE";"Ostrołęka";"Ostrołęka";"Ostrołęka";"miasto";"ul. Poznańska";"=""34""";"=""36""";"=""07-409""";"Ostrołęka";"=""512997454""";"";"kolorowaszkola@o2.pl";"";"niepubliczna";"Dzieci lub młodzież";"specjalna";"GRAŻYNA CISZKOWSKA";"2012.09.03";"2012.09.03";"";"Stowarzyszenia";"STOWARZYSZENIE ""DAJMY RAZEM SZANSĘ""";"=""146064716""";"=""7582351964""";"MAZOWIECKIE";"Ostrołęka";"Ostrołęka";"samodzielna";"";"";"";"16";"";"";"Tak";"Tak";"Nie";"specjalny";"Zajęcia rewalidacyjno-wychowawcze";"";"";"";""
"48812";"=""081082288""";"=""9241782575""";"Szkoła podstawowa";"""MAŁA SZKOŁA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA";"=""08""";"=""0810""";"=""0810045""";"=""0909733""";"";"LUBUSKIE";"żagański";"Iłowa";"Konin Żagański";"wieś";"";"=""83A""";"";"=""68-120""";"Iłowa";"=""683609044""";"=""683609044""";"malaszkola@wp.pl";"http://malaszkola83.blogspot.com/";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"WIESŁAWA PATYK-KOZŁOWSKA";"2004.08.26";"2004.09.01";"";"Stowarzyszenia";"STOWARZYSZENIE OŚWIATOWE ""MAŁA SZKOŁA""";"=""978095842""";"";"LUBUSKIE";"żagański";"Iłowa";"samodzielna";"";"";"";"76";"";"angielski";"Tak";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"275408";"=""386930493""";"";"Szkoła podstawowa";"""OTWARTA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1";"=""22""";"=""2205""";"=""2205085""";"=""0177112""";"=""20598""";"POMORSKIE";"kartuski";"Żukowo";"Banino";"wieś";"ul. Sosnowa";"=""17""";"";"=""80-297""";"Banino";"=""691355365""";"";"kontakt@szkolabanino.pl";"www.szkolabanino.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"REGINA LEPAK-FIGARSKA";"2020.09.01";"2020.09.01";"";"Spółki Handlowe";"POMORSKIE CENTRUM EDUKACJI - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""221046880""";"";"POMORSKIE";"kartuski";"Przodkowo";"samodzielna";"";"";"";"22";"";"angielski";"Nie";"Nie";"Nie";"ogólnodostępny, integracyjny, z językiem nauczania mniejszości narodowej lub etnicznej albo j.regionalnego";"";"";"";"";""
"125831";"=""360001153""";"";"Szkoła podstawowa";"""SKALA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA  Z ODDZIAŁAMI INTEGRACYJNYMI";"=""06""";"=""0663""";"=""0663011""";"=""0954700""";"=""25998""";"LUBELSKIE";"Lublin";"Lublin";"Lublin";"miasto";"ul. Zemborzycka";"=""132-136""";"";"=""20-445""";"Lublin";"=""516516620""";"";"przedszkole@stonoga.lublin.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ANNA KUTWA";"2014.11.04";"2015.09.01";"";"Osoba fizyczna";"NER-KOŁODYŃSKA RENATA";"";"";"LUBELSKIE";"puławski";"Nałęczów";"samodzielna";"";"";"";"89";"";"angielski, hiszpański";"Tak";"Tak";"Tak";"ogólnodostępny, integracyjny";"";"";"";"";""
