codigo_escola_dgeec,nome_escola,municipio,distrito,nuts_III,nuts_II,source_donnees,total_alunos_2022_23,alunos_1ano_2022_23,alunos_2ano_2022_23,alunos_3ano_2022_23,alunos_4ano_2022_23,taxa_retencao_media_2022_23,alunos_2ciclo_2019_2020_5ano,alunos_2ciclo_2019_2020_6ano,alunos_2ciclo_2020_2021_5ano,alunos_2ciclo_2020_2021_6ano,alunos_2ciclo_2021_2022_5ano,alunos_2ciclo_2021_2022_6ano,alunos_2ciclo_2022_2023_5ano,alunos_2ciclo_2022_2023_6ano,pct_2ciclo_homens,pct_2ciclo_mulheres,total_alunos_2ciclo,retencao_2ciclo_5ano_2022_23,retencao_2ciclo_6ano_2022_23,conclusao_2ciclo_n_amostra,conclusao_2ciclo_pct_escola,conclusao_2ciclo_pct_nat_comparable
* Valor indisponível,,,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
- Valor não existe,,,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1001052,"Escola Básica de Alpedriz, Alcobaça",Alcobaça,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1001137,"Escola Básica da Vestiaria, Alcobaça",Alcobaça,,,,1er_cycle_uniquement,33.0,13.0,7.0,6.0,7.0,0.035,,,,,,,,,,,,,,,,
1001157,"Escola Básica de Ataíja de Cima, Alcobaça",Alcobaça,,,,1er_cycle_uniquement,41.0,14.0,13.0,6.0,8.0,0.0,,,,,,,,,,,,,,,,
1001160,Jardim Escola de João de Deus Alcobaça,Alcobaça,,,,1er_cycle_uniquement,67.0,19.0,10.0,21.0,17.0,0.0,,,,,,,,,,,,,,,,
1001204,"Escola Básica de Pataias, Alcobaça",Alcobaça,,,,2eme_cycle_uniquement,,,,,,,49,57,59,51,60,62,47,66,0.5900000000000001,0.41,113,0,0,56,0.9821428571428571,0.9604525106130184
1001313,"Escola Básica do Bárrio, Alcobaça",Alcobaça,,,,1er_cycle_uniquement,81.0,22.0,16.0,19.0,24.0,0.0225,,,,,,,,,,,,,,,,
1001349,"Escola Básica de Turquel, Alcobaça",Alcobaça,,,,1er_cycle_uniquement,145.0,44.0,31.0,40.0,30.0,0.0075,,,,,,,,,,,,,,,,
1001358,"Escola Básica da Benedita, Alcobaça",Alcobaça,,,,2eme_cycle_uniquement,,,,,,,152,149,135,156,128,140,135,131,0.48,0.52,266,0,0,120,0.9666666666666667,0.9542769612182876
