nom,nature,section,type_ecole,niveau,type_eleves,curriculum,langue,nationalite,municipalite,zone,quartier,frais,nb_eleves,latitude,longitude
مدرسة الرشاد النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الدوحه,30,دحيل,,,25.353927529421245,51.476669484237505
مدرسة الزبير بن العوام الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الدوحه,32,مدينة خليفة الشمالية,,,25.327114321979295,51.47451429999999
مدرسة طيبة الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الدوحه,32,مدينة خليفة الشمالية,,,25.33124488694173,51.468228433532765
مدرسة المرخية الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الدوحه,33,المرخية,,,25.332612281450185,51.49224937479823
مدرسة خليفة النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الدوحه,34,مدينة خليفة الجنوبية,,,25.30907705243062,51.47562643844733
مدرسة خولة بنت الازور الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الدوحه,34,مدينة خليفة الجنوبية,,,25.3135567647649,51.4746855869903
مدرسة قطر الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الدوحه,34,مدينة خليفة الجنوبية,,,25.31676506786315,51.48524890937995
مدرسة البيان الابتدائية الثانية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الدوحه,35,فريج كليب,,,25.312315664225817,51.48763904017125
مدرسة سمية الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الدوحه,40,اسلطة الجديدة,,,25.266978939763927,51.51131130151025
مدرسة كمال ناجي النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الدوحه,40,اسلطة الجديدة,,,25.26482010444245,51.51117319991126
مدرسة موزة بنت محمد الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الدوحه,42,الهلال,,,25.25716860712988,51.54415387266719
مدرسة خديجة الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الدوحه,43,المعمورة 43,,,25.25275714235536,51.50185029999999
مدرسة أحمد بن راشد المريخي الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الدوحه,45,المطار العتيق,,,25.24656608946454,51.545382326158276
مدرسة ميمونة الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الدوحه,45,المطار العتيق,,,25.253927724832725,51.540041257876844
مدرسة ابن الهيثم الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الدوحه,47,الثمامة 47,,,25.241027859428034,51.56184470112027
مدرسة الخنساء الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الدوحه,47,الثمامة 47,,,25.24013522196695,51.56094200425413
مدرسة الوفاء النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الدوحه,47,الثمامة 47,,,25.23471954803516,51.54418427374557
مدرسة الثمامة الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الدوحه,50,الثمامة 50,,,25.22265220853921,51.56827670336526
مدرسة الثمامة الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الدوحه,50,الثمامة 50,,,25.22041782098933,51.55235491925443
مدرسة أم القرى الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,51,بني هاجر,,,25.319948182281077,51.39958440586248
مدرسة الأندلس الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,51,الثميد,,,25.358611137093693,51.372567909013654
مدرسة الخوارزمي الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,51,الغرافة,,,25.32881451090654,51.441954815334675
مدرسة المنار النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,51,الثميد,,,25.3609063108855,51.383779154584275
مدرسة الرفاع الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,52,الريان العتيق,,,25.299226401578206,51.44872388367578
مدرسة أم سلمة الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,53,الوجبة,,,25.28392692078051,51.40548825210669
مدرسة الشقب الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,53,الريان الجديد,,,25.291463828945155,51.43024375040482
مدرسة الوجبة الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الريان,53,روضة النيسر,,,25.25768041923524,51.402719238868656
مدرسة حليمة السعدية الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,53,الوجبة,,,25.265421151032672,51.38573739692696
مدرسة زينب بنت جحش الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,53,روضة ابا الحيران,,,25.257406776930406,51.35098165662369
مدرسة سعد بن ابي وقاص النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,53,روضة ابا الحيران,,,25.271370209406044,51.36983204986552
مدرسة عبد الله بن رواحة الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الريان,53,روضة ابا الحيران,,,25.269059737058942,51.3711189954569
مدرسة علي بن عبدالله النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,53,الريان الجديد,,,25.29376411499207,51.428038982610005
مدرسة قطر الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الريان,53,الريان الجديد,,,25.30488024152892,51.41325843002198
مدرسة معاذ بن جبل الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الريان,53,الريان الجديد,,,25.289083056785895,51.418436305082366
مدرسة القادسية النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,54,لوعيب,,,25.279630947599212,51.45975208936756
مدرسة عبدالله بن زيد آل محمود النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,54,بعيا,,,25.278540235859055,51.433864290752766
مدرسة عمر بن الخطاب النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,54,محيرجة,,,25.271390588816704,51.473095920581684
مدرسة أم هاني الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,55,السيلية,,,25.1959520444878,51.36568908318686
مدرسة الإخلاص النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,55,السيلية,,,25.199164571416993,51.365354720989096
مدرسة الإسراء الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,55,العزيزية,,,25.252263593076812,51.44982730536464
مدرسة التعاون الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,55,المعراض,,,25.23978240030597,51.37064643454131
مدرسة المثنى بن حارثة النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,55,بو سدرة,,,25.23494893478281,51.41958669262504
مدرسة الهدى الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,55,المعراض,,,25.24252726491194,51.37289781457106
مدرسة بلال بن رباح النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,55,معيذر 55,,,25.25173593561359,51.39633737841251
مدرسة حطين النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,55,العزيزية,,,25.242481685661275,51.44863901155953
مدرسة مريم بنت عمران الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,55,معيذر 55,,,25.264182835452484,51.40851354493663
مدرسة عبدالله بن تركي الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الريان,55,العزيزية,,,25.245886096944755,51.45228801319112
مدرسة عثمان بن عفان النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,55,بو سدرة,,,25.238928894740148,51.41948752264785
مدرسة فاطمة بنت الخطاب الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الريان,55,معيذر 55,,,25.255481819120995,51.419329170552246
مدرسة هاجر الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,55,المعراض,,,25.239492565002905,51.37936834197019
مدرسة أبي أيوب الأنصاري النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,56,ام السنيم,,,25.207215901403433,51.478138568004645
مدرسة الخليج العربي النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الريان,56,بو هامور,,,25.2226784064131,51.48817529250686
مدرسة الفلاح الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,56,بو هامور,,,25.221816048326787,51.49016259229089
مدرسة جويرية بنت الحارث الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,56,ام السنيم,,,25.203244200905296,51.457701497078865
مدرسة نسيبة بنت كعب الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,56,ام السنيم,,,25.212496821746154,51.47387199981597
مدرسة أحمد منصور الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الدوحه,66,لقطيفية,,,25.356491785549597,51.51479188093051
مدرسة أبي حنيفة النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الدوحه,66,لقطيفية,,,25.357118867914753,51.507514371517985
مدرسة البيان الابتدائية الأولى للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الظعاين,70,العب,,,,
مدرسة أم العمد النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الظعاين,70,ام قرن,,,25.565098302276528,51.448432921614604
مدرسة عبد الحميد الدايل النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية ام صلال,71,ام صلال محمد,,,25.415968207272737,51.416086441358026
مدرسة أم صلال محمد النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية ام صلال,71,الخريطيات,,,25.38267386375103,51.414769392262656
مدرسة الشفاء بنت عبد الرحمن الأنصارية الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية ام صلال,71,بو فسيلة,,,25.437660841149494,51.40996373845887
مدرسة النهضة الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية ام صلال,71,ام صلال محمد,,,25.421462625255554,51.41699458287988
مدرسة سعد بن معاذ الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية ام صلال,71,ام صلال علي,,,25.47523607610399,51.38927641842591
مدرسة عبدالله بن الزبير النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية ام صلال,71,الفروش,,,25.37491844419467,51.40901077037406
مدرسة الجميلية الابتدائية الإعدادية الثانوية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي + اعدادي + ثانوي,بنات,,,,بلدية الشيحانية,73,لجمليه,,,,
مدرسة الجميلية الابتدائية الإعدادية الثانوية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي + اعدادي + ثانوي,بنين,,,,بلدية الشيحانية,73,لجمليه,,,25.627619337024942,51.078524051510094
مدرسة الخور الابتدائية الأولى للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الخور و الذخيرة,74,الخور,,,25.672611489576852,51.481356635728886
مدرسة الخور الابتدائية الثانية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الخور و الذخيرة,74,الخور,,,25.67151394093604,51.48151609546738
مدرسة الخور النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الخور و الذخيرة,74,الخور,,,25.68068550793114,51.48239672944774
مدرسة الذخيرة الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الخور و الذخيرة,75,الذخيرة,,,25.72233280189988,51.53775639621794
مدرسة الذخيرة النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي + اعدادي + ثانوي,بنين,,,,بلدية الخور و الذخيرة,75,مدينة الكعبان,,,25.877032404822817,51.35556814981228
مدرسة الكعبان الابتدائية الإعدادية الثانوية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي + اعدادي + ثانوي,بنات,,,,بلدية الخور و الذخيرة,75,مدينة الكعبان,,,25.87698991096541,51.35334844381462
مدرسة الزبارة الابتدائية الإعدادية الثانوية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي + اعدادي + ثانوي,بنين,,,,بلدية الخور و الذخيرة,76,لغويرية,,,25.826926820705577,51.25103405876751
مدرسة الغويرية الابتدائية الإعدادية الثانوية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي + اعدادي + ثانوي,بنات,,,,بلدية الخور و الذخيرة,76,لغويرية,,,25.83464467469019,51.24491480526763
مدرسة الشمال الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الشمال,78,ام صباح,,,26.11706827840147,51.194028529492066
مدرسة الشمال الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الشيحانية,80,الشيحانية,,,26.120396052408967,51.19135065032425
مدرسة بروق الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الشيحانية,80,الشيحانية,,,,
مدرسة أسماء بنت أبي بكر الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,81,مبيريك,,,,
مدرسة صفية بنت عبدالمطلب الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الريان,81,مبيريك,,,,
مدرسة عبدالله بن جاسم آل ثاني الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الريان,81,مبيريك,,,,
مدرسة روضة راشد الابتدائية الإعدادية الثانوية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي + اعدادي + ثانوي,بنات,,,,بلدية الشيحانية,82,روضة راشد,,,,
مدرسة روضة راشد الابتدائية الإعدادية الثانوية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي + اعدادي + ثانوي,بنين,,,,بلدية الشيحانية,84,روضة البراق,,,,
مدرسة دخان الابتدائية الإعدادية الثانوية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي + اعدادي + ثانوي,بنات,,,,بلدية الشيحانية,86,الخطية الجديدة,,,,
مدرسة دخان الابتدائية الاعدادية الثانوية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي + اعدادي + ثانوي,بنين,,,,بلدية الشيحانية,86,الخطية الجديدة,,,,
مدرسة السلام الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الوكرة,90,الوكرة,,,,
مدرسة الشروق النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الوكرة,90,الوكرة,,,,
مدرسة الوكرة الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الوكرة,90,الوكرة,,,,
مدرسة جابر بن حيان الابتدائية للبنين,publique,Ecoles publiques,مدرسة حكومية,خامس + سادس,بنين,,,,بلدية الوكرة,90,الوكرة,,,,
مدرسة سعود بن عبدالرحمن النموذجية للبنين,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنين,,,,بلدية الوكرة,90,الوكرة,,,,
مدرسة لبابة بنت الحارث الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الوكرة,90,الوكرة,,,,
مدرسة المشاف الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الوكرة,91,المشاف,,,,
مدرسة الوكير الابتدائية للبنات,publique,Ecoles publiques,مدرسة حكومية,ابتدائي,بنات,,,,بلدية الوكرة,91,الوكير,,,,
مدرسة الوكير النموذجية للبنين,publique,Ecoles publiques,مدرسة تطبّق المنهج الأمريكي,روضة + ابتدائي,بنين + بنات,المنهج الأمريكي,,,بلدية الدوحه,3,مشيرب 3,,,25.28591599,51.52689778
