RED_IZO;IČO;Zřizovatel;Území;ORP;Plný název;Zkrácený název;Ulice;Č. p.;Č. or.;Část obce;PSČ;Místo;Telefon;Fax;Email 1;Email 2;WWW;Ředitel;IZO;Druh/Typ;Název;Škola - Ulice;Škola - Č. p.;Škola - Č. or.;Škola - Část obce;Škola - PSČ;Škola - Místo;Škola - Kód RÚIAN;Kapacita;Obor;Název.1;Forma;Délka;Jazyk;Kapacita oboru;Vyuč. jazyk oboru;Cizí jazyk;Dobíhající
600000231;25765710;5;CZ0104;1100;Modrý klíč - základní škola speciální a mateřská škola speciální, o.p.s.;Modrý klíč - ZŠ spec. a MŠ spec., o.p.s.;Smolkova;567.0;2;Kamýk;14200;Praha;241 715 375;241 714 255;modryklic@modry-klic.cz;;https://www.webskoly.cz/modryklic;Ing. Mgr. Milana Remarová;110380169;B00;Základní škola;Smolkova;567.0;2;Kamýk;14200.0;Praha;21851018.0;18;7901B01;Základní škola speciální;10.0;A0;100;18.0;10;;NE
600000346;63822211;6;CZ0201;2101;ARCHA základní škola a mateřská škola při Církvi československé husitské;ARCHA ZŠ a MŠ při Církvi čs. husitské;;74.0;;Petroupim;25601;Petroupim;311 440 246;;skolaarcha@skolaarcha.cz;;http://www.skolaarcha.org;Mgr. Vladimíra Skopcová;110450591;B00;Základní škola;;74.0;;Petroupim;25601.0;Petroupim;14377781.0;78;7901C01;Základní škola;10.0;90;100;78.0;10;;NE
600000729;25338790;5;CZ0642;6203;Mateřská škola a základní škola Sluníčko - Montessori, s.r.o.;MŠ a ZŠ Sluníčko, s.r.o.;Šrámkova;432.0;14;Lesná;63800;Brno;603 984 380;;slunicko.reditelstvi@seznam.cz;caslavova@slunicko-montessori.cz;http://www.slunicko-montessori.cz;Mgr. Alena Bilerová;151040583;B00;Základní škola;Provazníkova;1578.0;84;Husovice;61300.0;Brno;25470621.0;90;7901C01;Základní škola;10.0;90;100;90.0;10;;NE
600001083;45246751;6;CZ0101;1100;Základní škola sv. Voršily v Praze;Základní škola sv. Voršily v Praze;Ostrovní;2070.0;9;Nové Město;11000;Praha;224 931 495;;skola@zssv.cz;;http://www.zssv.cz;PhDr. Filip Roubíček, Ph.D.;45246751;B00;Základní škola;Ostrovní;2070.0;9;Nové Město;11000.0;Praha;21714673.0;540;7901C01;Základní škola;10.0;90;100;540.0;10;;NE
600001091;45246726;6;CZ0101;1100;Veselá škola - církevní základní škola a základní umělecká škola;Veselá škola - církevní ZŠ a ZUŠ;Soukenická;1088.0;10;Nové Město;11000;Praha;242 481 656;;info@veselaskola.cz;reditelna@veselaskola.cz;http://www.veselaskola.cz;Mgr. Markéta Těhníková;45246726;B00;Základní škola;Soukenická;1088.0;10;Nové Město;11000.0;Praha;21709211.0;230;7901C01;Základní škola;10.0;90;100;230.0;10;;NE
600001121;25612778;5;CZ0104;1100;Základní škola Klíček;Základní škola Klíček;Donovalská;1863.0;44;Chodov;14900;Praha;272 922 133;;klicek@klicek.cz;reditel@klicek.cz;http://www.klicek.cz;Mgr. David Havelka;49276212;B00;Základní škola;Donovalská;1863.0;44;Chodov;14900.0;Praha;21844216.0;160;7901C01;Základní škola;10.0;90;100;160.0;10;;NE
600001130;25625845;5;CZ0106;1100;Základní škola Duhovka, s.r.o.;Základní škola Duhovka, s.r.o.;Nad Kajetánkou;134.0;9;Břevnov;16900;Praha;724 866 893;;jindrich.kitzberger@duhovkaskola.cz;kancelar@duhovkaskola.cz;http://www.duhovkaskola.cz;RNDr. Jindřich Kitzberger;18627994;B00;Základní škola;Nad Kajetánkou;134.0;9;Břevnov;16900.0;Praha;22148671.0;280;7901C01;Základní škola;10.0;90;100;280.0;10;;NE
600001148;48546119;6;CZ0107;1100;Bratrská škola - církevní základní škola;Bratrská škola - církevní základní škola;Rajská;300.0;3;Holešovice;17000;Praha;778 112 229;;info@bratrska.cz;rostislav.konopa@bratrska.cz;http://www.bratrska.cz;Mgr. Rostislav Konopa;48546119;B00;Základní škola;Rajská;300.0;3;Holešovice;17000.0;Praha;22297669.0;220;7901C01;Základní škola;10.0;90;100;220.0;10;;NE
600001172;25132083;5;CZ0109;1100;Soukromá základní škola UNIVERZUM s.r.o.;Soukromá základní škola UNIVERZUM s.r.o.;Českolipská;373.0;27;Střížkov;19000;Praha;777 219 110;;kancelar@zsuniverzum.cz;marketa.smolarova@seznam.cz;www.zsuniverzum.cz;Mgr. Markéta Smolařová;108001539;B00;Základní škola;Českolipská;373.0;27;Střížkov;19000.0;Praha;25936671.0;190;7901C01;Základní škola;10.0;90;100;190.0;10;;NE
600001199;873730;6;CZ0203;2109;Základní škola Maltézských rytířů;Základní škola Maltézských rytířů;Školská;349.0;;Kročehlavy;27201;Kladno;774 527 819;;skola@zsmr.cz;;http://www.zsmr.cz;Mgr. Anna Salátová;108002411;B00;Základní škola;Školská;349.0;;Kročehlavy;27201.0;Kladno;1417321.0;180;7901C01;Základní škola;10.0;90;100;180.0;10;;NE
600001270;65018711;5;CZ0317;3112;Základní škola Bernarda Bolzana obecně prospěšná společnost;Základní škola Bernarda Bolzana o.p.s.;Školní nám.;199.0;15;Tábor;39001;Tábor;381 200 251;;info@skolabolzano.cz;;http://www.skolabolzano.cz;Mgr. Zdeněk Trska;110036271;B00;Základní škola;Školní nám.;199.0;15;Tábor;39001.0;Tábor;19798814.0;235;7901C01;Základní škola;10.0;90;100;235.0;18;02;NE
600001288;25159577;6;CZ0317;3112;Církevní základní škola ORBIS-PICTUS;Církevní základní škola ORBIS-PICTUS;Budějovická;825.0;65;Tábor;39002;Tábor;381 252 567;381 252 567;reditel@orbiska.cz;orbis.pictus@atlas.cz;www.orbiska.cz;Mgr. Ing. Karel Dušek;60064161;B00;Základní škola;Budějovická;825.0;65;Tábor;39002.0;Tábor;19804164.0;145;7901C01;Základní škola;10.0;90;100;145.0;10;;NE
600001296;25221272;5;CZ0321;3204;Soukromá základní škola a mateřská škola Adélka, o.p.s.;Soukromá ZŠ a MŠ Adélka, o.p.s.;;5.0;;Mašovice;34601;Meclov;379 422 970;;skolaadelka@seznam.cz;;http://www.skolaadelka.estranky.cz;Mgr. Vladislav Halík;110100221;B00;Základní škola;;5.0;;Mašovice;34601.0;Meclov;6820409.0;75;7901B01;Základní škola speciální;10.0;A0;100;6.0;10;;NE
600001296;25221272;5;CZ0321;3204;Soukromá základní škola a mateřská škola Adélka, o.p.s.;Soukromá ZŠ a MŠ Adélka, o.p.s.;;5.0;;Mašovice;34601;Meclov;379 422 970;;skolaadelka@seznam.cz;;http://www.skolaadelka.estranky.cz;Mgr. Vladislav Halík;110100221;B00;Základní škola;;5.0;;Mašovice;34601.0;Meclov;6820409.0;75;7901C01;Základní škola;10.0;90;100;75.0;10;;NE
600001300;49193490;5;CZ0323;3209;ZÁKLADNÍ ŠKOLA MARTINA LUTHERA, s.r.o.;ZŠ MARTINA LUTHERA,s.r.o.;Školní náměstí;34.0;1;Skvrňany;31800;Plzeň;377 387 009;377 380 754;hendrich@sml.cz;mvrsecky@sml.cz;http://www.sml.cz;Mgr. Robert Hendrich;64353290;B00;Základní škola;Školní náměstí;34.0;1;Skvrňany;31800.0;Plzeň;24557714.0;320;7901C01;Základní škola;10.0;90;100;320.0;10;;NE
600001318;25214047;5;CZ0323;3209;Soukromá základní škola ELEMENTÁRIA, s.r.o.;Soukr. základní škola ELEMENTÁRIA,s.r.o.;Žlutická;1694.0;2;Bolevec;32300;Plzeň;377 532 510 ,604357718;;info@elementaria.cz;;;PaedDr. Eva Růžičková;110034015;B00;Základní škola;Žlutická;1694.0;2;Bolevec;32300.0;Plzeň;24431737.0;150;7901C01;Základní škola;10.0;90;100;150.0;10;;NE
600001369;16389999;6;CZ0512;5103;Základní škola svaté Zdislavy;Základní škola svaté Zdislavy;Saskova;2080.0;34;Jablonec nad Nisou;46601;Jablonec nad Nisou;604 244 232;;sekretariat@zszdislavy.cz;;http://www.zsab.cz;Mgr. Hana Antonínová Hegerová;108006018;B00;Základní škola;Saskova;2080.0;34;Jablonec nad Nisou;46601.0;Jablonec nad Nisou;19857691.0;180;7901C01;Základní škola;10.0;90;100;180.0;10;;NE
600001385;44223897;6;CZ0513;5105;Křesťanská základní škola a mateřská škola J. A. Komenského;Křesťanská ZŠ a MŠ J. A. Komenského;Růžodolská;118.0;26;Liberec XI-Růžodol I;46001;Liberec;485 103 130;485 106 111;info@sjak.cz;;www.sjak.cz;Mgr. Jakub Pabián;110018141;B00;Základní škola;Růžodolská;118.0;26;Liberec XI-Růžodol I;46001.0;Liberec;23693835.0;225;7901C01;Základní škola;10.0;90;100;225.0;10;;NE
