An,Judet PJ,Localitate PJ,Cod SIRUTA PJ,Mediu loc. PJ,Cod SIIIR PJ,Denumire PJ,Localitate unitate,Cod SIRUTA unitate,Mediu loc. unitate,Cod SIRUES,Cod SIIIR unitate,Denumire scurta unitate,Denumire lunga unitate,Tip unitate,Statut unitate,Cod fiscal,Mod functionare,Forma finantare,Forma proprietate,Strada,Numar,Cod postal,Telefon,Fax,Email
2025-2026,AB,ALBAC,2149,RURAL,0161103206,"LICEUL TEHNOLOGIC ""ȚARA MOȚILOR"" ALBAC",CIONEŞTI,2176,RURAL,,0162104035,S04 CIONEȘTI,ȘCOALA PRIMARĂ CIONEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Cionesti, 1,517008,0258700768,0258700768,lt.albac@isjalba.ro
2025-2026,AB,ALBAC,2149,RURAL,0161103206,"LICEUL TEHNOLOGIC ""ȚARA MOȚILOR"" ALBAC",DEALU LĂMĂŞOI,2194,RURAL,,0162104089,S04 DEALU LĂMĂȘOI,ȘCOALA PRIMARĂ DEALU LĂMĂȘOI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, DEALU LĂMĂŞOI, 1,517011,0258700768,0258700768,lt.albac@isjalba.ro
2025-2026,AB,ALBAC,2149,RURAL,0161103206,"LICEUL TEHNOLOGIC ""ȚARA MOȚILOR"" ALBAC",DUPĂ PLEŞE,2210,RURAL,,0162104053,S04 DUPĂ PLEȘE,ȘCOALA PRIMARĂ DUPĂ PLEȘE,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Dupa Plese, 1,517013,0258777109,0258777109,lt.albac@isjalba.ro
2025-2026,AB,ALMAŞU MARE,2318,RURAL,0161102829,ȘCOALA GIMNAZIALĂ ALMAȘU MARE,GLOD,2363,RURAL,,0162100266,S04 GLOD,ȘCOALA PRIMARĂ GLOD,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principala,75,517036,0258850115,0258850115,sc.almasu@isjalba.ro
2025-2026,AB,AVRAM IANCU,2586,RURAL,0161102603,"ȘCOALA GIMNAZIALĂ ""AVRAM IANCU"" AVRAM IANCU",TÂRSA,2853,RURAL,,0162104962,S04 TÂRSA,ȘCOALA PRIMARĂ TÂRSA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,TARSA, 783,517085,0258786158,0258786158,sc.avramiancu@isjalba.ro
2025-2026,AB,BERGHIN,2997,RURAL,0161102752,ȘCOALA GIMNAZIALĂ BERGHIN,GHIRBOM,3002,RURAL,,0162103762,S04 GHIRBOM,ȘCOALA PRIMARĂ GHIRBOM,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,327,517111,0258854113,0258854113,sc.berghin@isjalba.ro
2025-2026,AB,BISTRA,3048,RURAL,0161103111,"ȘCOALA GIMNAZIALĂ ""NICODIM GANEA"" BISTRA",CIULDEŞTI,3100,RURAL,,0162104442,S04 CIULDEȘTI,ȘCOALA PRIMARĂ CIULDEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA, 1,517115,0258773106,0258773106,sc.bistra@isjalba.ro
2025-2026,AB,BLAJ,1357,URBAN,0161102535,"ȘCOALA GIMNAZIALĂ ""TOMA COCIȘIU"" BLAJ",PETRISAT,1393,RURAL,,0162100682,S04 PETRISAT,ȘCOALA PRIMARĂ PETRISAT,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,14,517405,0258712467,0258712467,sctc.blaj@isjalba.ro
2025-2026,AB,BLANDIANA,3404,RURAL,0161102788,ȘCOALA GIMNAZIALĂ BLANDIANA,ACMARIU,3413,RURAL,,0162104415,S04 ACMARIU,ȘCOALA PRIMARĂ ACMARIU,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,173,517161,0258760708,0258760708,sc.blandiana@isjalba.ro
2025-2026,AB,BUCIUM,3468,RURAL,0161102354,"ȘCOALA GIMNAZIALĂ ""ION AGÂRBICEANU"" BUCIUM",BUCIUM-SAT,3495,RURAL,,0162105158,S04 BUCIUM SAT,ȘCOALA PRIMARĂ BUCIUM SAT,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principala,157,517168,0786404989,0258784103,sc.bucium@isjalba.ro
