,name,struct,addr,lat,lon
0,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 79""",(Муниципальное образовательное учреждение),"420087, Республика Татарстан, г. Казань, ул.Рихарда Зорге, 1А",55.7637,49.18172
1,"Муниципальная образовательная школа-интернат ""Лицей-интернат № 7""",(Муниципальное образовательное учреждение),"420103, Республика Татарстан, г. Казань, ул.Четаева, 37",55.8244,49.12312
2,"Муниципальное учреждение образования для детей дошкольного и младшего школьного возраста ""Прогимназия № 25""",(Муниципальное образовательное учреждение),"420100, Республика Татарстан, г. Казань, ул. Ю.Фучика, д.57",55.74462,49.2056
3,"Муниципальное общеобразовательное учреждение ""Начальная школа-детский сад № 47"" Приволжский район, , г.Казани",(Муниципальное образовательное учреждение),"420011, Республика Татарстан, г. Казань, Ферма-2",55.71716,49.16222
4,"Специальное (коррекционное)образовательное учреждение для обучающихся воспитанников с отклонениями в развитии ""Школа-интернат № 1""",(Государственное образовательное учреждение),"420036, Республика Татарстан, г. Казань, ул.Тимирязева, д.3",55.84911,49.0766
5,"Коммунальное (муницыпальное) общеобразовательное учреждение ""Начальная общеобразовательная школа № 107"" Советский район, , г. Казани",(Государственное образовательное учреждение),"420029, Республика Татарстан, г. Казань, ул. Пионерская, д.10",55.80556,49.18698
6,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 24 с углубленным изучением отдельных предметов""",(Муниципальное образовательное учреждение),"420141, Республика Татарстан, г. Казань, ул.Габишева, д.15",55.74815,49.23482
7,"Коммунальное (муницыпальное) общеобразовательное учреждение ""Начальная школа - детский сад № 128"" Советский район, , г. Казани",(Государственное образовательное учреждение),"420053, Республика Татарстан, г. Казань, ул. 4-я Станционная, д.5",55.85542,49.19395
8,"Муниципальное общеобразовательное учреждение ""Татарская гимназия № 2 им. Шигабутдина Марджани"" Московский район, , г.Казани",(Муниципальное образовательное учреждение),"420095, Республика Татарстан, г. Казань, ул.Ш.Усманова, д.11",55.82843,49.07379
9,"Муниципальное общеобразовательное учреждение. ""Начальная общеобразовательная школа № 138""",(Муниципальное образовательное учреждение),"420070, Республика Татарстан, г. Казань, ул. Школьная, д.2",55.67852,49.11991
10,"Муниципальное учреждение образования ""Средняя общеобразовательная русско-татарская школа № 150"" Приволжский район, , г. Казани",(Муниципальное образовательное учреждение),"420138, Республика Татарстан, г. Казань, ул. Дубравная, д. 45",55.73957,49.20187
11,"Муниципальное общеобразовательное учреждение "" Лицей им. Н.И.Лобачевского при Казанском государственном университете"" Вахитовский район, , г.Казани",(Муниципальное образовательное учреждение),"420111, Республика Татарстан, г. Казань, ул.Кави Наджми, 18",55.79202,49.11639
12,"Муниципальное образовательное учреждение ""Открытая (сменная) общеобразовательная школа № 24"" Советский район, , г. Казани",(Муниципальное образовательное учреждение),"420088, Республика Татарстан, г. Казань, ул. Халитова, д. 5",55.81849,49.19642
13,"Коммунальное (муниципальное) учреждение образования ""Вечерняя (сменная) общеобразовательная школа № 13"" Московский район, , г. Казани",(Муниципальное образовательное учреждение),"420039, Республика Татарстан, г. Казань, ул.Декабристов, 172",55.83582,49.08341
14,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа с углубленным изучением отдельных предметов № 4 с татарским языком обучения"" Вахитовский район, , г. Казани",(Муниципальное образовательное учреждение),"420111, Республика Татарстан, г. Казань, ул.Япеева, 11",55.79938,49.11559
15,Открытая (сменная) общеобразовательная школа № 7,(Государственное образовательное учреждение),"420032, Республика Татарстан, г. Казань, ул. Деловая, 11",55.81604,49.06084
16,Специальная (коррекционная) общеобразовательная школа-интернат № 7 V вида,(Государственное образовательное учреждение),"420033, Республика Татарстан, г. Казань, ул. Окольная, 25",55.82731,49.04345
17,"Муниципальное Специальное (коррекционное) образовательное учреждение для обучающихся с отклонениями в развитии "" Специальная коррекционная общеобразовательная школа № 61"" Московский район, , г. Казани",(Муниципальное образовательное учреждение),"420044, Республика Татарстан, г. Казань, ул. Енисейская, д. 5",55.83444,49.08541
18,Муниципальное образовательное учреждение средняя общеобразовательная школа №  8,(Муниципальное образовательное учреждение),"630129, Новосибирская область, г. Новосибирск, ул. Курчатова, 37/1",55.10723,82.96401
