school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
ADMIRALTY PRIMARY SCHOOL,https://admiraltypri.moe.edu.sg/,11 WOODLANDS CIRCLE   ,738907,63620598,na,63627512,na,admiralty_ps@moe.edu.sg,Admiralty Station,"965, 964, 913",MR CHEN ZHONGYI,MADAM CHAN YEE CHIN WILNA,MR HAMRI BIN A JALIL,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
AHMAD IBRAHIM PRIMARY SCHOOL,http://www.ahmadibrahimpri.moe.edu.sg,10 YISHUN STREET 11   ,768643,67592906,na,67592927,na,aips@moe.edu.sg,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",MS BAEY EE-LYN,MADAM YEO SIAU YEN,MADAM CHIA JUNLI,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
AI TONG SCHOOL,http://www.aitong.moe.edu.sg,100 Bright Hill Drive   ,579646,64547672,na,64532726,na,aitong_sch@moe.edu.sg,Bishan MRT,"410, 162, 52",MR WONG JIA WANG,MR YAK BENG WEI,MR CHIU SHEK MAN PHILIP,MR KHOO THIAM HUAT,na,na,na,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
ALEXANDRA PRIMARY SCHOOL,http://alexandrapri.moe.edu.sg,2A Prince Charles Crescent   ,159016,62485400,na,62485409,na,alexandra_ps@moe.edu.sg,"Redhill Station , Tiong Bahru Station","51, 122, 139, 186, 970.",MADAM TEO CHING LING,MADAM RAPS AZRINAH,MISS ACHARY GOPALAN SHIYAMALA,MR LOH KAH HONG,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ANCHOR GREEN PRIMARY SCHOOL,http://www.anchorgreenpri.moe.edu.sg,31 Anchorvale Drive   ,544969,68861356,na,63159825,na,anchorgreen_ps@moe.edu.sg,"MRT : NE16-Sengkang, LRT : SW7-TongKang","Bus 372, 110, 50",MR CHEONG LIT SERN WESLEY,MDM MUMTAAS BINTE MOHAMED KASSIM,MDM AU YARD WAH,na,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ANDERSON PRIMARY SCHOOL,http://www.andersonpri.moe.edu.sg,19 ANG MO KIO AVE 9   ,569785,64560340,na,65522310,na,anderson_ps@moe.edu.sg,"Yio Chu Kang MRT Station (NS 15), Lentor MRT Station (TE5)","Ang Mo Kio Ave 9 - Bus 76, 265, 268",MS SHIRLEY LEOW,MR BOH CHEK KEOW,MS CHUA JING HUI JOLYN,na,na,na,na,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ANG MO KIO PRIMARY SCHOOL,http://www.angmokiopri.moe.edu.sg,20 ANG MO KIO AVENUE 3   ,569920,64520794,na,64588121,na,amkps@moe.edu.sg,"Ang Mo Kio MRT Station, Mayflower MRT Station","76, 132, 165, 166, 169, 200, 000, 000",MR MUHAMMAD FARIZAL BIN UMAR EFFE,MISS CHEN YANTING NATHALIE,MR TAN YEW LEE,MADAM LIEW KAH CHANG ALETHEA,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ANGLO-CHINESE SCHOOL (JUNIOR),www.acsj.moe.edu.sg,16 WINSTEDT ROAD   ,227988,67337911,67337912,67346518,na,acsj@moe.edu.sg,Newton MRT Station,"5, 54, 124, 143, 162, 162M, 167, 167e, 518, 518A, 972M",MISS CHEE CHUERN HWEI CHERYL,MR GOH SHEOW EN,MR FENG WENFU,MR AARON CHUA BEE HOCK,na,na,na,CENTRAL,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ANGLO-CHINESE SCHOOL (PRIMARY),http://www.acspri.moe.edu.sg/,50 BARKER ROAD   ,309918,62501633,na,63531366,na,acps@moe.edu.sg,Newton MRT Station,"Bus 48, 66, 67, 170, 960, 972M",MRS LEONG-HO HIL MAY,MADAM TEH HSIAO CHUIN,MR HUANG JUNXIAN JACHIN,MADAM SEOW LAY YEN,na,na,na,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,CHINESE,MALAY,TAMIL
ANGSANA PRIMARY SCHOOL,https://angsanapri.moe.edu.sg/,51 Tampines Street 61   ,528565,67830427,na,67845293,na,angsana_pri@moe.edu.sg,Tampines,"Bus Service 68, 68A",MR WONG WOEN LONG,MADAM SULASNI BINTE ABDUL RAHMAN,MADAM LEE HUAY MENG CAROL,MR KONG CHEE CHIEW,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
