school_id,الاسم_بالعربية,الاسم_بالانجليزية,الولاية_EN,الولاية_رمز,المحلية_EN,المحلية_AR,المحلية_رمز,النطاق,نوع_الملكية,نوع_المدرسة,عدد_المعلمين,الطلاب_إناث,الطلاب_ذكور,إجمالي_الطلاب,الصف_1,الصف_2,الصف_3,الصف_4,الصف_5,الصف_6,الصف_7,الصف_8,إجمالي_الفصول,فصول_دائمة,فصول_تحتاج_تأهيل,سور,مخزن,وجبات_مدرسية,روضة_أطفال,روضة_مستوى_1,روضة_مستوى_2,الكهرباء,مصدر_المياه,مراحيض,مراحيض_ذكور,مراحيض_إناث,مراحيض_مشتركة,خط_الطول,خط_العرض
53411301,ابن عباس بنين,Ibn Abbas for boys,West Kordofan,SD18,Al Idia,الاضية,SD18104,حضري,حكومية,بنين,14,0,486,486,60,78,77,56,65,68,47,35,8,6,2,نعم,لا,لا,نعم,18,22,لا يوجد,Well,لا,1,1,0,,
53411302,ابن عمر بنين,Ibn Omer for boys,West Kordofan,SD18,Al Idia,الاضية,SD18104,حضري,حكومية,بنين,14,0,360,360,57,55,56,35,46,53,25,33,9,4,5,نعم,نعم,نعم,نعم,36,21,طاقة شمسية,Well,نعم,3,1,4,,
53411303,الصباغ  بنين,Asabag for boys,West Kordofan,SD18,Al Idia,الاضية,SD18104,ريفي,حكومية,بنين,7,0,454,454,61,72,68,61,60,61,34,37,8,6,2,لا,نعم,لا,نعم,35,22,لا يوجد,Other,نعم,5,1,0,,
53411304,عريس بنين,Arees for boys,West Kordofan,SD18,Al Idia,الاضية,SD18104,ريفي,حكومية,بنين,7,0,445,445,59,73,68,61,59,43,38,44,8,8,0,نعم,لا,لا,نعم,45,20,مولّد كهربائي,Other,نعم,6,0,6,,
53411305,الحميراء بنات,Alhomayraa for girls,West Kordofan,SD18,Al Idia,الاضية,SD18104,حضري,حكومية,بنات,13,443,0,443,61,63,64,63,45,48,60,39,8,5,3,نعم,نعم,لا,نعم,59,42,طاقة شمسية,Well,نعم,0,2,0,,
53411306,ام سلمة بنات,Om Salama for girls,West Kordofan,SD18,Al Idia,الاضية,SD18104,حضري,حكومية,بنات,13,414,0,414,65,58,52,65,52,51,39,32,8,8,0,لا,نعم,لا,نعم,35,42,مولّد كهربائي,Well,نعم,0,2,0,,
53411307,الصباغ  بنات,Asabbagh for girls,West Kordofan,SD18,Al Idia,الاضية,SD18104,ريفي,حكومية,بنات,6,375,0,375,64,64,63,40,40,49,30,25,8,6,2,نعم,لا,لا,نعم,15,15,طاقة شمسية,Other,نعم,3,3,0,,
53411308,شقرو بنات,Shagaro for girls,West Kordofan,SD18,Al Idia,الاضية,SD18104,ريفي,حكومية,بنات,6,325,0,325,54,46,45,46,39,30,36,29,8,6,2,نعم,لا,لا,نعم,25,20,لا يوجد,Well,نعم,0,12,0,,
53411309,عريس بنات,Arees for girls,West Kordofan,SD18,Al Idia,الاضية,SD18104,ريفي,حكومية,بنات,7,451,0,451,65,72,82,70,50,48,37,27,9,4,4,نعم,لا,لا,نعم,35,0,لا يوجد,Pump,نعم,1,3,2,,
53411310,شقرو بنين,Shagaro for boys,West Kordofan,SD18,Al Idia,الاضية,SD18104,ريفي,حكومية,بنين,5,0,278,278,0,54,58,45,36,39,26,20,8,0,8,لا,لا,لا,نعم,0,0,لا يوجد,Well,لا,0,0,0,,
