Code,Nom,Directeur,Code commune,Adresse,Code postal,Ville,Latitude,Longitude,Tel,Email,Site web,Types,Statut
29824923,Öringe Skola,Måns Magnusson,1381,Öringelund 117-119,31291,Laholm,56.52527264147798,13.020700193227643,073-5172830,info@oringe.nu,http://www.oringe.nu,"GR,FKLASS,FTH",AKTIV
18501273,Kronetorpskolan,Anna Cederpil,1231,Frögatan 5,23237,Arlöv,55.64479316141561,13.093287197081676,040-6526581,anna.cederpil@burlov.se,,"GR,FKLASS,FTH",AKTIV
58247022,Åbyskolan,Anders Vilander,0880,Läckebyvägen 10,39597,Läckeby,56.78060508231618,16.290250952384305,010-3526240,abyskolan@kalmar.se,http://www.kalmar.se/abyskolan,"GR,FKLASS,FTH",AKTIV
62394711,Snörrumsskolan,Camilla Wester,1438,Snörrumsvägen 8 A,66832,Ed,58.90064330068405,11.958955356289373,0534-19142,bun@dalsed.se,http://www.dalsed.se,"GR,FKLASS,FTH,GRAN",AKTIV
27416472,Gröndalsskolan,Susanne Lind,0880,Gröndalsvägen 19 A,39236,Kalmar,59.225698888397794,15.159174168922648,010-3526240,susanne.lind@kalmar.se,https://kalmar.se/utbildning-och-barnomsorg/grundskola/grundskolor/grondalsskolan.html,"GRAN,GR",AKTIV
50194424,Pauliskolan,Thomas Wallin,1283,Norra Hunnetorpsvägen 115,25665,Helsingborg,56.05267453957904,12.748757275655683,042-160260,info@pauliskolan.se,http://www.pauliskolan.se,"GR,FKLASS,FTH",AKTIV
71629249,G-klavens fristående skola,Eva Cederholm,1081,Emaljervägen 2,37230,Ronneby,56.2155471434289,15.2816261929749,0457-15090,eva.cederholm@gklaven.se,http://www.gklaven.se,"GR,FKLASS,FTH",AKTIV
31608087,Urfjälls Montessoriskola,Mette Sandh,0139,Urfjällsvägen 2,19693,Kungsängen,,,08-58174043,skolexp@urfjall.se,http://www.urfjall.se,"GR,FKLASS,FTH,OPPFTH",AKTIV
39920301,Prästkragen,Åsa Christell,1267,Kyrkstigen 1,24330,Höör,55.9325812842004,13.550676571046793,0413-28246,asa.christell@hoor.se,,GR,AKTIV
10609045,Lagmansskolan Beta MH,Joakim Stigenhed,0586,Lagmansgatan 34,59552,Mjölby,58.31990640422779,15.133643805117275,0142-85393,lagmansskolan@mjolby.se,http://www.mjolby.se,GR,AKTIV
49865737,Anpassad grundskola Central,Kerstin Hallgren,1441,Rurik Holms väg 5,44830,Floda,57.807400915571456,12.362126446265059,0302-520806,enhetcentral@lerum.se,https://lerum.se/utbildning-och-barnomsorg/grundskolor-och-fritidshem/anpassad-grundskola-lerum,GRAN,AKTIV
50503733,Vegaskolan anpassad grundskola 1-9,Helena Ödling,2460,Vegagatan 10,91131,Vännäs,63.90853187231788,19.755829234698062,0935-14443,barn.utbildningsnamnden@vannas.se,http://www.vannas.se,"FTH,GRAN",AKTIV
27272633,Hagbyskolan,Ann Kristin Karlsson,0880,Kyrkallén 16,38896,Hagby,56.55519474579592,16.17685181773906,010-3525052,hagbyskolan@kalmar.se,http://www.kalmar.se/hagbyskolan,"GR,FKLASS,FTH",AKTIV
44875711,Ellös skola,Hanna Lindö,1421,Ellösvägen 1,47431,Ellös,58.17776304359405,11.473541812352396,0304-334425,ellosskola@orust.se,http://www.orust.se,"GR,FKLASS,FTH",AKTIV
29524966,Freinetskolan Kastanjen,Maria Nordheden Gard,0127,Slagsta Gårdsväg 2,14574,Norsborg,59.25305230000001,17.846840499999985,08-53179698,info@kastanjen.nu,http://www.kastanjen.nu,"GR,FKLASS,FTH",AKTIV
87989137,Agunnarydskolan,Emilia Lundgren Rückert,0781,Bygdevägen 2,34177,Agunnaryd,56.749304735372846,14.147001649447613,0733-754284,emilia.lundgrenruckert@skola.ljungby.se,http://www.skola.ljungby.se,"GR,FKLASS,FTH",AKTIV
36066067,Musikskolan Lilla Akademien,Emelia Gardemar,0180,Norrtullsgatan 14,11345,Stockholm,59.34593954678331,18.048445874670424,08-54541830,info@lillaakademien.se,http://www.lillaakademien.se,"GR,FKLASS,FTH",AKTIV
14935978,Änggården,Hanna Lindö,1421,Kvarnvägen 2,47470,Mollösund,58.07307691178385,11.4779267815133,0304-334000,larande@orust.se,www.orust.se,"GR,FTH",AKTIV
25097050,Anpassad grundskola Egebyskolan,Gunilla Angström,0586,Egebygatan 1,59543,Mjölby,58.333376237604774,15.132392687586089,010-2345507,egebyskolan.funktionsbrevlada@mjolby.se,www.mjolby.se,"FKLASS,GRAN",AKTIV
84589034,Anpassad grundskola Lagmansskolan,Lena Wennerqvist,0586,Lagmansgatan 34,59552,Mjölby,58.31990640422779,15.133643805117275,010-2345263,lagmansskolan.funktionsbrevlada@mjolby.se,www.mjolby.se,GRAN,AKTIV
37981902,Normlösa skola,Åsa-Pia Svalin,0586,Skeppsåsvägen 4,59693,Skänninge,58.416448719244585,15.22736158074621,0142-360208,normlosaskola@mjolby.se,http://www.mjolby.se,"GR,FKLASS,FTH",AKTIV
92579261,Västra Hargs skola LM,Kristine Kellander,0586,Betlehemsvägen 5,59591,Mjölby,58.26571893372059,15.253159110724246,0142-85621,vastrahargsskola@mjolby.se,http://www.mjolby.se,"GR,FKLASS,FTH",AKTIV
87414531,Angelstadskolan,Marie Henningsson,0781,Angelstad skola 2,34194,Ljungby,56.829978991796736,13.758790210727936,0372-784351,marie.henningsson@skola.ljungby.se,http://www.skola.ljungby.se,"GR,FKLASS,FTH",AKTIV
32191771,Svenska skolan i London,Vakant,,,,London,,,+442087411751,office@swedishschool.org.uk,http://www.swedishschool.org.uk,"GY,GR,FKLASS",AKTIV
39102843,Svenska skolan i Paris,Vakant,,,,Paris,,,+33146223105,info@svenskaskolanparis.com,http://www.svenskaskolanparis.com,"GY,GR,FKLASS",AKTIV
13727833,Skandinaviska skolan Costa Blanca,Vakant,,,,Costa Blanca,,,+34965329095,info@skandinaviskaskolan.com,http://www.skandinaviskaskolan.com,"GR,FKLASS",AKTIV
72203001,Svenska Skolan på Costa del Sol,Vakant,,,,Fuengirola,,,+34952475076,info@skolan.es,http://www.skolan.es,"GY,GR,FKLASS",AKTIV
41710561,Svenska skolan på Gran Canaria,Vakant,,,,Gran Canaria,,,+34928771412,info@svenskaskolangc.com,http://www.svenskaskolangc.com,"GR,FKLASS",AKTIV
34295208,Skandinaviska Skolan i Madrid,Vakant,,,,Madrid,,,+34916500127,colegio@escandinavo.com,http://www.escandinavo.com,"GY,GR,FKLASS",AKTIV
72934442,Svenska Skolan på Teneriffa,Vakant,,,,Las Americas,,,+34922798358,rektor@teneriffaskolan.se,http://www.teneriffaskolan.com,"GR,FKLASS",AKTIV
61625682,Svenska Skolan på Mallorca,Vakant,,,,Palma de Mallorca,,,+34971282350,info@svenskaskolanmallorca.com,http://www.svenskaskolanmallorca.com,"GR,FKLASS",AKTIV
19285468,Svenska Skolan i Berlin,Vakant,,,,Berlin,,,+493086495930,info@svenskaskolan-berlin.de,http://www.svenskaskolan-berlin.de,"GR,FKLASS",AKTIV
50253710,Skandinaviska skolan Hamburg,Vakant,,,,Hamburg,,,49404208829,info@skanskol.de,http://www.skanskol.de,"GR,FKLASS",AKTIV
87734954,Svenska Skolan i Wien,Vakant,,,,Wien,,,+4313207980,svenskaskolan@svenskaskolan.at,http://www.svenskaskolan.at,"GR,FKLASS",AKTIV
69350932,Svenska Skolan i Nairobi,Vakant,,,,Nairobi,,,+254203866544,info@ssn.or.ke,http://www.ssn.or.ke,"GY,GR,FKLASS",AKTIV
35896299,Skandinaviska Skolan Maputo,Vakant,,,,Maputo,,,+25821490166,skandinaviskaskolan@skandskol.com,http://www.skandskol.com,"GR,FKLASS",AKTIV
21157015,Astradskolan 3,Patrik Svensson,0781,Replösavägen 4,34138,Ljungby,56.83066826366675,13.953658710941848,0372-784250,patrik.svensson@skola.ljungby.se,http://ljungby.se,GR,AKTIV
24113068,Bolmsöskolan,Faton Gurgurovci,0781,Bollstad,34193,Bolmsö,56.93333292629689,13.73332205065333,0733-754121,faton.gurgurovci@skola.ljungby.se,http://www.skola.ljungby.se,"GR,FKLASS,FTH",AKTIV
42908219,Säbyholms Montessoriskola,Pontus Asperheim,1282,Säbyholmsvägen 70,26191,Landskrona,55.90273207919164,12.825341965794017,0709-671150,info@sabyholm.nu,http://www.sabyholm.nu,"GR,FKLASS,FTH",AKTIV
27282475,Almekärrsskolan skolenhet 1,Ulrika Norling,1441,Almekärrsvägen 189,44339,Lerum,57.75745888048226,12.262422943922145,0302-521509,enhetalmekarr@lerum.se,http://www.lerum.se/almekarrsskolan,"GR,FKLASS,FTH",AKTIV
29371242,Campus Manilla,Josefin Whitmore,0180,Manillavägen 32-36,11521,Stockholm,59.323458186085055,18.133344033248736,08-6627700,adm@campusmanilla.se,http://www.campusmanilla.se,"GR,FKLASS,FTH,OPPFTH",AKTIV
