id,الاسم_بالعربية,الاسم_بالانجليزية,نوع_الملكية,المرحلة_الدراسية,نوع_المنشأة,المحافظة_AR,المنطقة_AR,الناحية_AR,المحافظة_EN,المنطقة_EN,الناحية_EN,adm0_pcode,adm1_pcode,adm2_pcode,adm3_pcode,adm4_pcode,المدينة,العنوان,خط_الطول,خط_العرض,المصدر
way/353076085,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Abu Kamal,Deir-ez-Zor,Abu Kamal,Abu Kamal,SYR,SY09,SY0902,SY090200,,الهري,"M15, الهري, ناحية مركز البوكمال, منطقة البوكمال, محافظة دير الزور, سوريا",40.935132,34.434928,
way/353076087,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Abu Kamal,Deir-ez-Zor,Abu Kamal,Abu Kamal,SYR,SY09,SY0902,SY090200,,الهري,"M15, الهري, ناحية مركز البوكمال, منطقة البوكمال, محافظة دير الزور, سوريا",40.935593,34.435289,
way/353075906,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Abu Kamal,Deir-ez-Zor,Abu Kamal,Abu Kamal,SYR,SY09,SY0902,SY090200,,البوكمال,"حلب - الرمادي, البوكمال, ناحية مركز البوكمال, منطقة البوكمال, محافظة دير الزور, سوريا",40.92565,34.450368,
way/353075907,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Abu Kamal,Deir-ez-Zor,Abu Kamal,Abu Kamal,SYR,SY09,SY0902,SY090200,,البوكمال,"حلب - الرمادي, البوكمال, ناحية مركز البوكمال, منطقة البوكمال, محافظة دير الزور, سوريا",40.925095,34.450418,
way/1458257167,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,الحويجة,"الحويجة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.966061,34.461328,
way/1458257166,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,الحويجة,"الحويجة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.966667,34.461245,
way/1464348213,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Abu Kamal,Deir-ez-Zor,Abu Kamal,Abu Kamal,SYR,SY09,SY0902,SY090200,,الهري,"M15, الهري, ناحية مركز البوكمال, منطقة البوكمال, محافظة دير الزور, سوريا",40.964101,34.399856,
way/1458530381,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Abu Kamal,Deir-ez-Zor,Abu Kamal,Abu Kamal,SYR,SY09,SY0902,SY090200,,العشاير,"طريق حلب - الرمادي, العشاير, ناحية مركز البوكمال, منطقة البوكمال, محافظة دير الزور, سوريا",40.849963,34.528316,
way/1458562200,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,الحويجة,"الحويجة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.95108,34.554841,
way/1458562203,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,الشعفة,"الشعفة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.935967,34.560809,
way/1458562199,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,السوسة,"شارع المريح, السوسة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.956274,34.556613,
way/1458562195,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,السوسة,"شارع المريح, السوسة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.963722,34.536985,
way/1458257122,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,السوسة,"شارع المريح, السوسة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.951324,34.514514,
way/1501786456,مدرسة السوسة الإعدادية,مدرسة السوسة الإعدادية,غير محددة,إعدادية,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,السوسة,"مدرسة السوسة الإعدادية, شارع المريح, السوسة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.950457,34.51534,
way/1501786454,مدرسة السوسة الثانوية,مدرسة السوسة الثانوية,غير محددة,ثانوية,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,السوسة,"مدرسة السوسة الثانوية, شارع المريح, السوسة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.950928,34.514894,
way/1501786455,مدرسة السوسة الريفية,مدرسة السوسة الريفية,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,السوسة,"مدرسة السوسة الريفية, شارع المريح, السوسة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.950249,34.516022,
relation/19955512,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,الحويجة,"الحويجة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.929068,34.515738,
way/1458701181,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Susat,Deir-ez-Zor,Abu Kamal,Susat,SYR,SY09,SY0902,SY090203,,الحويجة,"الحويجة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.937108,34.509107,
way/1456463155,,,غير محددة,غير محدد,مدرسة,دير الزور,Abu Kamal,Hajin,Deir-ez-Zor,Abu Kamal,Hajin,SYR,SY09,SY0902,SY090201,,الشعفة,"الشعفة, ناحية السوسة, منطقة البوكمال, محافظة دير الزور, سوريا",40.939596,34.595038,
