source,school_type,school_name,school_name_en,moe_code,subdistrict,district,province,address,postcode,telephone,email,website,curriculum,level_min,level_max,students,boarding,geo_location,latitude,longitude
OBEC (Public),Public,วัดกระแส,,1021470057,กระแสบน,แกลง,ระยอง,1 -,21110,083626177,,,Thai National Curriculum,อ.1,ป.6,171,,พื้นราบ,12.848659,101.635092
OBEC (Public),Public,วัดสบจาง,,1052500465,นาสัก,แม่เมาะ,ลำปาง,2 -,52220,-,,,Thai National Curriculum,อ.1,ป.6,60,,พื้นราบ,18.381531,99.838562
OBEC (Public),Public,วัดนาสัก,,1086110188,นาสัก,สวี,ชุมพร,- -,86130,084-8481825,,,Thai National Curriculum,อ.2,ป.6,105,,พื้นราบ,10.202983,99.040095
OBEC (Public),Public,วัดแจ้ง,,1090550098,ระวะ,ระโนด,สงขลา,- -,90140,093-151-4239,,,Thai National Curriculum,อ.2,ป.6,61,,พื้นราบ,7.713827,100.376465
OBEC (Public),Public,บ้านหน้าทอง,,1090550091,ระวะ,ระโนด,สงขลา,0 -,90140,-,,,Thai National Curriculum,อ.2,ป.6,85,,พื้นราบ,7.732845,100.369598
OBEC (Public),Public,วัดพังตรี,,1090550100,ระวะ,ระโนด,สงขลา,160 -,90140,,,,Thai National Curriculum,อ.3,ป.6,27,,พื้นราบ,7.732845,100.369596
OBEC (Public),Public,บ้านปากบาง,,1091560054,ละงู,ละงู,สตูล,0 -,91110,081-7282559,,,Thai National Curriculum,อ.2,ม.3,229,,พื้นราบ,6.827406,99.793241
OBEC (Public),Public,บ้านตะเสะ,,1092140327,ตะเสะ,หาดสำราญ,ตรัง,116 -,92120,-,,,Thai National Curriculum,อ.1,ป.6,134,,พื้นราบ,7.161363,99.590825
OBEC (Public),Public,วัดแค,,1011570130,ปากคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,1 วัดแค,10290,024258412,,,Thai National Curriculum,อ.2,ป.6,186,,พื้นราบ,13.606364,100.565701
OBEC (Public),Public,วัดชนะสงคราม,,1010720019,ชนะสงคราม,เขตพระนคร,กรุงเทพมหานคร,77/1 จักพงษ์,10200,02-0436548,,,Thai National Curriculum,อ.1,ป.6,183,,พื้นราบ,13.84832,100.561788
OBEC (Public),Public,อนุบาลวัดปรินายก,,1010720007,บ้านพานถม,เขตพระนคร,กรุงเทพมหานคร,1/1 ราชดำเนินนอก,10200,02-281-6104,,,Thai National Curriculum,อ.1,ป.6,428,,พื้นราบ,13.759707,100.528425
OBEC (Public),Public,พระตำหนักสวนกุหลาบ,,1010720023,พระบรมมหาราชวัง,เขตพระนคร,กรุงเทพมหานคร,- มหาราช,10200,022226561,,,Thai National Curriculum,อ.1,ม.3,827,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,ราชวินิต,,1010720003,ดุสิต,เขตดุสิต,กรุงเทพมหานคร,291/1 ถนนนครราชสีมา,10300,022812156,,,Thai National Curriculum,ป.1,ม.6,2442,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,ทีปังกรวิทยาพัฒน์(วัดโบสถ์)ในพระราชูปถัมภ์ฯ,,1010720004,ดุสิต,เขตดุสิต,กรุงเทพมหานคร,658/1 สามเสน,10300,022438565,,,Thai National Curriculum,อ.1,ป.6,397,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,วัดพลับพลาชัย,,1010720016,ป้อมปราบ,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,5/2 ไมตรีจิตต์,10100,022247635,,,Thai National Curriculum,อ.1,ป.6,648,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,วัดโสมนัส,,1010720005,วัดโสมนัส,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,646/2 ถนนกรุงเกษม,10100,022810792,,,Thai National Curriculum,อ.1,ป.6,314,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,ประถมนนทรี,,1010720035,ช่องนนทรี,เขตยานนาวา,กรุงเทพมหานคร,66/1 พระรามสาม  79,10120,022400697,,,Thai National Curriculum,อ.1,ป.6,357,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,วัดด่าน,,1010720037,บางโพงพาง,เขตยานนาวา,กรุงเทพมหานคร,872/5 พระราม 3,10120,022843047,,,Thai National Curriculum,อ.1,ป.6,289,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,มหาวีรานุวัตร,,1010720018,ตลาดน้อย,เขตสัมพันธวงศ์,กรุงเทพมหานคร,661 มิตรภาพไทย-จีน,10100,022218936,,,Thai National Curriculum,อ.1,ป.6,268,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,วัดชัยชนะสงคราม(วัดตึก),,1010720020,สัมพันธวงศ์,เขตสัมพันธวงศ์,กรุงเทพมหานคร,83/1 ถนนมหาจักร,10100,02-2213879,,,Thai National Curriculum,อ.1,ป.6,172,,พื้นราบ,13.759703,100.528513
