CODE_ETABLISSEMENT,CODE_AUTO,NOM_ETABLISSEMENT,NOM_ETABLISSEMENT_AR,TYPE,TYPE_AR,DELEGATION,DELEGATION_AR,GOUVERNORAT,GOUVERNORAT_AR,ZONE,ZONE_AR,LATITUDE,LONGITUDE,SOURCE
10100101,100101,E.P.BAB JEDID,م.إ.  باب الجديد,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.79216,10.173194,data.gov.tn 2024
10100104,100104,E.P.RUE EL MARR,م.إ.  نهج المر,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.473968,10.1075,data.gov.tn 2024
10100107,100107,E.P.ABD AZIZ LASREM,م.إ.  عبد العزيز الأصرم,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.796852,10.174021,data.gov.tn 2024
10100110,100110,E.P.7 RUE DOCTEUR CASSAR,م.إ.  نهج الحكيم كسار,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.80274,10.1699,data.gov.tn 2024
10100115,100115,E.P.AP.SADIKI RUE SINAN PACHA,م.إ.  الصادقية نهج سنان باشا,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.798828,10.166001,data.gov.tn 2024
10100116,100116,E.P.PLACE LEADER,م.إ.  ساحة معقل الزعيم,École Primaire Publique,مدرسة ابتدائية,TUNIS EL MADINA,تونس المدينة,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.79269,10.164906,data.gov.tn 2024
10100301,100301,E.P.RUE CHARLES DE GAULLE,م.إ.  نهج شارل ديقول,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7946969999999,10.178131,data.gov.tn 2024
10100304,100304,E.P.17 RUE DE RUSSIE,م.إ.  نهج روسيا عدد17,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7945509999999,10.17733961,data.gov.tn 2024
10100307,100307,E.P.16 RUE EL IDRISSI,م.إ.  نهج الإدريسي,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.482663,10.103779,data.gov.tn 2024
10100309,100309,E.P.12.RUE ALI JELILI,م.إ.  12 نهج علي الجليلي,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.807989,10.179,data.gov.tn 2024
10100312,100312,E.P.18 RUE DE L'INDE,م.إ.  18 نهج الهند,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.811464,10.1823599999999,data.gov.tn 2024
10100314,100314,E.P.29 RUE DE MARSEILLE,م.إ.  29 نهج مرسيليا,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.803462,10.181684,data.gov.tn 2024
10100315,100315,E.P.80 RUE ABD RAZAK CHRAIBI,م.إ.  80 نهج عبد الرزاق الشرايبي,École Primaire Publique,مدرسة ابتدائية,TUNIS BAB BHAR,تونس باب بحر,Tunis 1,تونس 1,Zone Communale,منطقة بلدية,36.7953357299999,10.18627077,data.gov.tn 2024
