Ville,District,Nom_Ecole,Type_Ecole,Statut,Adresse,Telephone
ADANA,ALADAĞ,Akören Çok Programlı Anadolu Lisesi,Lise,Public,,
ADANA,ALADAĞ,Akören İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Akören Ortaokulu,Ortaokul,Public,,
ADANA,ALADAĞ,Aladağ Halk Eğitimi Merkezi,Diğer,Public,,
ADANA,ALADAĞ,Aladağ İmam Hatip Ortaokulu,Ortaokul,Public,,
ADANA,ALADAĞ,Aladağ Öğretmenevi ve Akşam Sanat Okulu,Diğer,Public,,
ADANA,ALADAĞ,Aladağ Sinanpaşa Anadolu İmam Hatip Lisesi,Lise,Public,,
ADANA,ALADAĞ,Atatürk İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Atatürk Ortaokulu,Ortaokul,Public,,
ADANA,ALADAĞ,Boztahta Şehit Serdar Yıldırım İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Boztahta Şehit Serdar Yıldırım Ortaokulu,Ortaokul,Public,,
ADANA,ALADAĞ,Büyüksofulu İmam Hatip Ortaokulu,Ortaokul,Public,,
ADANA,ALADAĞ,Büyüksofulu Şehit Ziya Şahin İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Ceritler Necati Özsırkıntı İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Darılık İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Dölekli İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Dölekli Ortaokulu,Ortaokul,Public,,
ADANA,ALADAĞ,Gerdibi İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Gerdibi Ortaokulu,Ortaokul,Public,,
ADANA,ALADAĞ,Gerdibi Sivişli İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Gökçeköy İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Kabasakal İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Karahan İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Karatepe İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Kıcak Şehit Arif Mamış İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Kıcak Şehit Arif Mamış Ortaokulu,Ortaokul,Public,,
ADANA,ALADAĞ,Kışlak İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Kızıldam İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Kökez Cumhuriyet İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Kökez İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Kökez Ortaokulu,Ortaokul,Public,,
ADANA,ALADAĞ,Köprücük İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Köprücük Mengez İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Küp İlkokulu,İlkokul,Public,,
ADANA,ALADAĞ,Sanko Aladağ Anadolu Lisesi,Lise,Public,,
ADANA,ALADAĞ,Şehit Adem Oğuz Yatılı Bölge Ortaokulu,Ortaokul,Public,,
ADANA,ALADAĞ,Sinanpaşa İlkokulu,İlkokul,Public,,
