Назва закладу освіти,Код в ЄДЕБО,ОУО підтвердив дані,Скорочена назва,Статус,Тип закладу,Форма власності,Код КОАТУУ,Регіон,Населений пункт,Місцезнаходження (юридична адреса),Код КАТОТТГ,Населений пункт (за КАТОТТГ),Головний заклад,"Найменування органу, до сфери управління якого належить заклад освіти",Телефон,Факс,Електронна пошта,Веб-сайт,Керівник,Опорний / Філія,Сільський,Гірський,Інтернат,Ліцензовані обсяги
"Комунальний заклад ""Дніпрорудненська спеціалізована школа І-ІІІ ступенів ""Світоч"" Дніпрорудненської міської ради Василівського району Запорізької області",134260,Так,"КЗ ""ДСШ І-ІІІ ст. ""Світоч"" ДМР ВР ЗО",працює,спеціалізована школа,Комунальна,2310137200,Запорізька область,"Запоріжжя, Запорізька область","проспект Соборний, 164",UA23060070010154443,"Запорізька обл., м. Запоріжжя",,Виконавчий комітет Дніпрорудненської міської ради Василівського району Запорізької області,(098)7809706,,kzsvitoch@gmail.com,http://www.shkolasvitoch.com.ua/,Розумейко Тетяна Миколаївна,Ні,Ні,Ні,Ні,
"комунальний заклад ""Василівська загальноосвітня школа I-III ступенів №1"" Василівської міської ради Запорізької області",134261,Так,"КЗ ""Василівська ЗОШ І-ІІІ ступенів №1"" ВМР ЗО",працює,школа,Комунальна,2310137200,Запорізька область,"Запоріжжя, Запорізька область","вулиця Грищенка Володимира, 9",UA23060070010154443,"Запорізька обл., м. Запоріжжя",,Василівська міська рада Запорізької області,(097)453-31-32,,natasha_kit@ukr.net,http://vasschool1.at.ua,Кіт Наталія Анатоліївна,Ні,Ні,Ні,Ні,
"Комунальний заклад ""Михайлівський навчально-виховний комплекс І-ІІ ступенів ""дошкільний навчальний заклад - загальноосвітня школа"" Михайлівської селищної ради Василівського району Запорізької області",134262,Так,"КЗ ""Михайлівський НВК І-ІІ ступенів""ДНЗ-ЗОШ""",працює,навчально-виховний комплекс (об'єднання),Комунальна,2323355100,Запорізька область,"смт Михайлівка, Михайлівський район, Запорізька область","вулиця Маяковського, 63",UA23040170010073574,"Запорізька обл., Василівський р-н",,Михайлівська селищна рада Василівського району Запорізької області,(06132)2-02-66,,mih.zosh2@ukr.net,http://mihnvk.at.ua/,Харіна Анастасія Сергіївна,Ні,Ні,Ні,Ні,
"Комунальний заклад ""Дніпрорудненська загальноосвітня школа І-ІІ ступенів"" Дніпрорудненської міської ради Василівського району Запорізької області",134263,Так,"КЗ ""Дніпрорудненська ЗОШ І-ІІ ст."" ДМР ВР ЗО",призупинено,школа,Комунальна,2320910400,Запорізька область,"Дніпрорудне, Василівський район, Запорізька область","вулиця Шкільна, 2б",UA23040090010050034,"Запорізька обл., Василівський р-н",,Виконавчий комітет Дніпрорудненської міської ради Василівського району Запорізької області,(096)2935809,,dnepschooldr@ukr.net,https://sites.google.com/view/dnepschooldr/,Харченко Наталія Володимирівна,Ні,Ні,Ні,Ні,
Михайлівська гімназія № 1 Михайлівської селищної ради Василівського району Запорізької області,134264,Так,Михайлівська гімназія № 1,працює,гімназія,Комунальна,2310137200,Запорізька область,"Запоріжжя, Запорізька область","проспект Соборний, 164",UA23060070010154443,"Запорізька обл., м. Запоріжжя",,Михайлівська селищна рада Василівського району Запорізької області,(097)432-39-39,,mihgimnazium16@ukr.net,http://mihgimnazium.wixsite.com/kznvk,Щусь Ольга Володимирівна,Ні,Ні,Ні,Ні,
Нивочинська філія Старобогородчанського ліцею Старобогородчанської сільської ради Івано-Франківського району Івано-Франківської області,134265,Так,Нивочинська філія,працює,гімназія,Комунальна,2620486801,Івано-Франківська область,"с. Нивочин, Богородчанський район, Івано-Франківська область","вулиця Шевченка, 141",UA26040310040022169,"Івано-Франківська обл., Івано-Франківський р-н",Старобогородчанський ліцей Старобогородчанської сільської ради Івано-Франківського району Івано-Франківської області,Старобогородчанська сільська рада Івано-Франківського району Івано-Франківської області,(097)5489862,,nyvochyn.school@gmail.com,,Шак Мар'яна Ярославівна,Філія,Так,Ні,Ні,
"Коврайський навчально-виховний комплекс ""загальноосвітня школа I-III ступенів - дошкільний навчальний заклад"" імені Г.С. Сковороди Гельмязівської сільської ради Золотоніського району Черкаської області",134266,Так,"Коврайський НВК ""ЗОШ І-ІІІ ст. - ЗДО"" ім. Г.С.Сковороди",працює,навчально-виховний комплекс (об'єднання),Комунальна,7121585501,Черкаська область,"с. Коврай, Золотоніський район, Черкаська область","вулиця Центральна, 3",UA71040050060039972,"Черкаська обл., Золотоніський р-н",,Відділ освіти виконавчого комітету Гельмязівської сільської ради Золотоніського району Черкаської області,(096)328-7290,,kavraj@ukr.net,http://kovrai-nvk.ck.sch.in.ua/,Різник Людмила Леонідівна,Ні,Так,Ні,Ні,240
"Приморська гімназія ""Джерело"" Степногірської селищної ради Василівського району Запорізької області",134267,Так,"Приморська гімназія ""Джерело"" ССР ВР ЗО",працює,гімназія,Комунальна,2320985501,Запорізька область,"с. Приморське, Василівський район, Запорізька область","вулиця Східна, 76",UA23040210070080545,"Запорізька обл., Василівський р-н",,Степногірська селищна рада Василівського району Запорізької області,(061)7556420,,primscool@ukr.net,http://primorscscool.jimdo.com,Підгорний Андрій Іванович,Ні,Так,Ні,Ні,
Михайлівська гімназія № 3 Михайлівської селищної ради Василівського району Запорізької області,134268,Так,Михайлівська гімназія № 3,працює,гімназія,Комунальна,2310137200,Запорізька область,"Запоріжжя, Запорізька область","вулиця Перемоги, 59",UA23060070010154443,"Запорізька обл., м. Запоріжжя",,Михайлівська селищна рада Василівського району Запорізької області,(068)068-42-86,,mihzosh3@gmail.com,http://mihalzosh3.ucoz.ua,Прокудіна Вероніка Анатоліївна,Ні,Ні,Ні,Ні,
Соколівська гімназія ім. С. Вострікова Михайлівської сільської ради Запорізького району Запорізької області,134269,Так,Соколівська гімназія ім. С. Вострікова,працює,гімназія,Комунальна,2321584011,Запорізька область,"с. Соколівка, Вільнянський район, Запорізька область","вулиця Першотравнева, 49",UA23060150150095710,"Запорізька обл., Запорізький р-н",,"ВІДДІЛ ОСВІТИ, КУЛЬТУРИ, МОЛОДІ ТА СПОРТУ МИХАЙЛІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ЗАПОРІЗЬКОГО РАЙОНУ ЗАПОРІЗЬКОЇ ОБЛАСТІ",(061)43-96-525,,sokzosh@gmail.com,http://sokzosh.ucoz.ua,Бублик Наталія Миколаївна,Ні,Так,Ні,Ні,
