source,nom,nom_en,longitude,latitude,ville,province,district,telephone,giga_id,niveau
OSM,Trường Tiểu học Xuân Đỉnh,,105.7944959,21.0723743,,,,,,Primary
OSM,Trường Tiểu học Lê Lai,,108.240437,16.0444829,,,,,,Primary
OSM,Trường Tiểu học Núi Thành,,108.2148889,16.0411114,,,,,,Primary
OSM,Trường Tiểu học Huỳnh Ngọc Huệ,,108.1916181,16.0638513,,,,,,Primary
OSM,Trường Tiểu học Võ Trường Toàn,,105.7650479,10.0485031,,,,,,Primary
OSM,Trường Tiểu Học Hồ Văn Huê,Ho Van Hue Primary School,106.6742964,10.8085407,,Hồ Chí Minh,Phú Nhuận,,,Primary
OSM,Trường Tiểu học Lăng Cô,,108.0843209,16.2309335,,,,,,Primary
OSM,"Trường Tiểu học, Trung học cơ sở và Trung học phổ thông May",,105.8305513,20.9863565,,,,,,Primary
OSM,Trường tiểu học Mạc Đĩnh Chi,,105.7851454,10.0374247,Cần Thơ,,,,,Primary
OSM,Trường Tiểu học Võ Thị Sáu,Vo Thi Sau Primary School,107.2746059,10.4825304,,,,,,Primary
OSM,Trường Tiểu học Ngọc Hồi,,106.655578,10.7784426,,Hồ Chí Minh,Tân Bình,,,Primary
OSM,Trường Tiểu Học Nguyễn Bá Ngọc,Nguyen Ba Ngoc Primary School,106.68582,10.8076855,,,,,,Primary
OSM,Trường Tiểu học Hoàng Hoa Thám,Hoang Hoa Tham Primary School,105.8105003,21.0456555,,,,,,Primary
OSM,Trường Tiểu Học Quang Thiện,,106.1057578,20.0993513,,,,,,Primary
OSM,Trường Tiểu học Nguyễn Trãi,,105.81718,20.9962205,,,,,,Primary
OSM,tiểu học C Vĩnh Thạnh Trung,,105.2175163,10.5763922,,,,,,Primary
OSM,tiểu học A VTT,,105.2286405,10.5845683,,,,,,Primary
OSM,Trường Tiểu học Lý Nhơn,Ly Nhon Primary School,106.6991169,10.7615695,,,,,,Primary
OSM,Trường Tiểu học Đặng Trần Côn,,106.6973627,10.7607181,,,,,,Primary
OSM,Trường Tiểu học Nguyễn Văn Trỗi,Nguyen Van Troi Primary School,106.701541,10.7632821,Phường 9,Thành phố Hồ Chí Minh,Quận 4,,,Primary
OSM,Trường Tiểu học Đoàn Thị Điểm,Doan Thi Diem Primary School,106.6937438,10.756599,,,,,,Primary
OSM,tiểu học A Bình Long,,105.2454254,10.5657478,,,,,,Primary
OSM,Trường Tiểu học Nguyễn Du,,105.7583073,10.0113107,Cần Thơ,,,,,Primary
OSM,Tiểu học Bình Thủy,,105.7521964,10.0715156,,,,,,Primary
OSM,Tiểu Học An Thới 2,,105.7668489,10.0579402,,,,,,Primary
OSM,Tiểu học Trà Nóc,,105.7285571,10.0905049,,,,,,Primary
OSM,Tiểu học An Lạc,,105.7818522,10.026326,,,,,,Primary
OSM,Tiểu Học Châu Văn Liêm,,105.4404981,10.3786072,,,,,,Primary
OSM,Tiểu học Nguyễn Bỉnh Khiêm,,105.447795,10.381382,,,,,,Primary
OSM,Tiểu học Chu Văn An,,105.4339025,10.3786335,,,,,,Primary
OSM,Trường Tiểu học Nguyễn Du,,105.4382152,10.3858255,,,,,,Primary
OSM,Tiểu học Lê Hồng Phong,,105.4668963,10.3464882,,,,,,Primary
