id_etablissement,nom_etablissement,nom_en,nom_translit,type_etablissement,statut_operateur,gouvernorat_region,district,sous_district,latitude,longitude,ville
node/4319654692,مدارس البقرين,,mdrs lbqryn,École,,Hadramawt,Al Mukalla City,Al Mukalla City,14.5560765,49.1333781,
node/4298022225,مدارس النور,,mdrs lnwr,École,,Hadramawt,Al Mukalla City,Al Mukalla City,14.553924,49.135923,
node/4298021120,مدارس الاحفاد,,mdrs lHfd,École,,Hadramawt,Al Mukalla City,Al Mukalla City,14.552851,49.132791,
node/4298025314,روضة أطفال,Kindergarten,Kindergarten,École,,Hadramawt,Al Mukalla City,Al Mukalla City,14.552121,49.127169,
node/1841773527,كلية العلوم جامعة حضرموت,,kly@ l`lwm jm`@ HDrmwt,Université,,Hadramawt,Al Mukalla City,Al Mukalla City,14.5510266,49.11532,
way/173342510,مدرسه السيده عائشه للبنات,,mdrsh lsydh `y'shh llbnt,École,,Hadramawt,Al Mukalla City,Al Mukalla City,,,
way/232722640,مدرسه الخنساء,,mdrsh lkhns,École,,Hadramawt,Al Mukalla City,Al Mukalla City,,,
way/377983791,ثانويه الشاطئ,,thnwyh lshTy',École,,Hadramawt,Al Mukalla City,Al Mukalla City,,,
node/4319622138,مدارس الصدارة الحديثة,مدارس الصدارة الحديثه,مدارس الصدارة الحديثه,École,,Hadramawt,Al Mukalla City,Al Mukalla City,14.5586739,49.1375793,
node/4298024863,مدرسه,,mdrsh,École,,Hadramawt,Ghayl Bawazir,Ghayl Bawazir,14.7733483,49.2662448,
node/11250603524,مدرسة كثيبة,,mdrs@ kthyb@,École,,Hadramawt,Ghayl Bawazir,Ghayl Bawazir,14.7644666,49.2980282,
way/810207638,مدرسة الحامي الثانوية للبنات,,mdrs@ lHmy lthnwy@ llbnt,École,,Hadramawt,Ash Shihr,Al Hami,,,
way/810207620,مدرسة بدر الكسادي,,mdrs@ bdr lksdy,École,,Hadramawt,Ash Shihr,Al Hami,,,
way/714988306,ثانوية الملاح باطايع,,thnwy@ lmlH bTy`,École,,Hadramawt,Ash Shihr,Al Hami,,,
way/714988317,مدرسة صلاح الدين الأيوبي الأساسية,,mdrs@ SlH ldyn l'ywby l'ssy@,École,,Hadramawt,Ash Shihr,Al Hami,,,
way/810207643,مدرسة الهدى,,mdrs@ lhd~,École,,Hadramawt,Ash Shihr,Al Hami,,,
way/810195928,روضة الحامي,,rwD@ lHmy,Jardin d'enfants,,Hadramawt,Ash Shihr,Al Hami,,,
way/810195927,مدرسة الفقيد أحمد سالمين عليو الأساسية,,mdrs@ lfqyd 'Hmd slmyn `lyw l'ssy@,École,,Hadramawt,Ash Shihr,Al Hami,,,
node/8370870617,كلية المجتمع سقطرى,,kly@ lmjtm` sqTr~,Collège / Institut,,Socotra,Hadibu,Hadibu,12.6496037,54.0131072,
node/8370868718,كلية التربية سقطرى,,kly@ ltrby@ sqTr~,Collège / Institut,,Socotra,Hadibu,Hadibu,12.6489762,54.0108287,
