wilaya_code,wilaya,commune_code,commune,ecole_code,nom_ecole,type
10,"Bouira",1001,"البويرة (BOUIRA)",10011048,"إبتدائية  النجاح الخاصة","Privé"
10,"Bouira",1001,"البويرة (BOUIRA)",10011059,"إبتدائية  انسيكلو الخاصة","Privé"
10,"Bouira",1001,"البويرة (BOUIRA)",10011061,"إبتدائية  المستقبل السامي","Privé"
12,"Tébessa",1201,"تبسة (TEBESSA)",12011083,"إبتدائية  التميز الخاصة","Privé"
13,"Tlemcen",1301,"تلمسان (TLEMCEN)",13011047,"إبتدائية  الفتح","Privé"
13,"Tlemcen",1301,"تلمسان (TLEMCEN)",13011048,"إبتدائية  الحياة","Privé"
13,"Tlemcen",1301,"تلمسان (TLEMCEN)",13011057,"إبتدائية  المجموعة المدرسية بوعبدالله - ابتدائي","Privé"
13,"Tlemcen",1301,"تلمسان (TLEMCEN)",13011058,"إبتدائية  المجمع المدرسي الفتح","Privé"
13,"Tlemcen",1351,"منصورة (MANSOURAH)",13511020,"إبتدائية  تيسورة الخاصة","Privé"
14,"Tiaret",1401,"تيارت (TIARET)",14011128,"إبتدائية  مؤسسة التربية و التعليم  محمد الفاتح الخاصة","Privé"
14,"Tiaret",1401,"تيارت (TIARET)",14011138,"إبتدائية  الإدراك","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011054,"إبتدائية  قوس قزح","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011055,"إبتدائية  إثري","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011056,"إبتدائية  جرجرة سكول","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011057,"إبتدائية  فورولو الصغير","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011058,"إبتدائية  لحاد","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011059,"إبتدائية  اليمامة البيضاء","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011060,"إبتدائية  اسبرانس سكول","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011061,"إبتدائية  أسلاس","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011062,"إبتدائية  تالة","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011063,"إبتدائية  تيللي","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011067,"إبتدائية  رونيسونس","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011068,"إبتدائية  أفولاي","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011069,"إبتدائية  تيزي نتسنا","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011070,"إبتدائية  إزجيقان نتفسوث","Privé"
15,"Tizi Ouzou",1501,"تيزي وزو (TIZI-OUZOU)",15011072,"إبتدائية  إخولاف","Privé"
