"unique_id","province_code","geocode","source_id","provider","authority_id","authority_name","full_address","school_id","facility_name","streetAddress","postalCode","addressLocality","min_grade","max_grade","ISCED010","ISCED020","ISCED1","ISCED2","ISCED3","ISCED4Plus","is_OLMS","french_immersion","early_immersion","middle_immersion","late_immersion","facility_type","dguid","csdname","geometry","date_updated"
"b6326b14a88a60d3c896","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","Box 129, Arnold's Cove A0B 1A0","400924","Tricentia Academy","Box 129","A0B 1A0","Arnold's Cove","k","12","0","1","1","1","1","0","0","0","0","0","0","K12","2021A00051001270","Arnold's Cove","POINT (-53.9840877 47.7650123)","2023-09-30"
"4b0989cde122afea0a95","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","P. O. Box 260, Avondale A0A 1B0","400247","Roncalli Central High","P. O. Box 260","A0A 1B0","Avondale","7","12","0","0","0","1","1","0","0","0","0","0","0","H","2021A00051001464","Avondale","POINT (-53.1945927 47.419187)","2023-09-30"
"79dcae69af352dcf6fc2","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","Box 190, Badger A0H 1A0","300398","Avoca Collegiate","Box 190","A0H 1A0","Badger","k","9","0","1","1","1","0","0","0","0","0","0","0","E","2021A00051006026","Badger","POINT (-56.0419741 48.9763664)","2023-09-30"
"c56df2243c349da99c01","NL",10,74,"Employment and Social Development Canada","..","..","P.O Box 400, Badger","JPBE","Central Training Academy","","..","Badger","..","..","0","0","0","0","0","1","0","0","0","0","0","Private Institution","2021A00051006026","Badger","","2024-08-09"
"1f9868f1625715eb721d","NL",10,74,"Employment and Social Development Canada","..","..","Baie Verte Campus, Baie Verte","JVAD","College of the North Atlantic, Baie Verte campus","Baie Verte Campus","..","Baie Verte","..","..","0","0","0","0","0","1","0","0","0","0","0","Technical and Vocational","2021A00051008079","Baie Verte","POINT (-56.22679676 49.92035428)","2024-08-09"
"a4d11e968271c57fe5a1","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","Box 430, 9 Columbus Drive, Baie Verte A0K 1B0","300125","Copper Ridge Academy","Box 430, 9 Columbus Drive","A0K 1B0","Baie Verte","k","12","0","1","1","1","1","0","0","0","0","0","0","K12","2021A00051008079","Baie Verte","POINT (-56.2269717 49.9243646)","2023-09-30"
"5fd30011cac993fe37e4","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","P.O. Box 460, Bay Roberts A0A 1G0","400248","Amalgamated Academy","P.O. Box 460","A0A 1G0","Bay Roberts","6","9","0","0","1","1","0","0","0","1","0","0","1","I","2021A00051001409","Bay Roberts","POINT (-53.2768672 47.5908538)","2023-09-30"
"0e51ac167b7ad5ec390b","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","Box 370, Bay Roberts A0A 1G0","400249","Ascension Collegiate","Box 370","A0A 1G0","Bay Roberts","10","12","0","0","0","0","1","0","0","1","0","0","1","SH","2021A00051001409","Bay Roberts","POINT (-53.2834225 47.5920405)","2023-09-30"
"51d069077a7e011581af","NL",10,74,"Employment and Social Development Canada","..","..",", Bay Roberts","JPBB","Canadian Training Institute","","..","Bay Roberts","..","..","0","0","0","0","0","1","0","0","0","0","0","Private Institution","2021A00051001409","Bay Roberts","","2024-08-09"
"659648103bb679ba7761","NL",10,74,"Employment and Social Development Canada","..","..","239 Conception Bay Highway, Bay Roberts","JPAS","Keyin College — Bay Roberts","239 Conception Bay Highway","..","Bay Roberts","..","..","0","0","0","0","0","1","0","0","0","0","0","Private Institution","2021A00051001370","Carbonear","POINT (-53.22004991 47.74187521)","2024-08-09"
"2401d73387fa5a110b7b","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","P.O. Box 100, Bay de Verde A0A 1E0","400433","Tricon Elementary","P.O. Box 100","A0A 1E0","Bay de Verde","k","9","0","1","1","1","0","0","0","0","0","0","0","E","2021A00051001347","Bay de Verde","POINT (-52.9157085 48.1097708)","2023-09-30"
"96a0e8bfbbc2abd43d07","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","P.O. Box 820, Bell Island A0A 4H0","400294","St. Augustine's Elementary","P.O. Box 820","A0A 4H0","Bell Island","k","9","0","1","1","1","0","0","0","0","0","0","0","E","..","..","","2023-09-30"
"1b59990c7cd907ab3954","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","P.O. Box 400, Bell Island A0A 4H0","400296","St. Michael's Regional High","P.O. Box 400","A0A 4H0","Bell Island","7","12","0","0","0","1","1","0","0","0","0","0","0","H","..","..","","2023-09-30"
"9f00eb974e98df355d9f","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","Box 95, Benoit's Cove A0L 1A0","200057","St. Peter's Academy","Box 95","A0L 1A0","Benoit's Cove","k","9","0","1","1","1","0","0","0","0","0","0","0","E","..","..","","2023-09-30"
"1aafa9f2c8a63768112b","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","Box 130, 1 Forest Road, Bishop's Falls A0H 1C0","300400","Helen Tulk Elementary","Box 130, 1 Forest Road","A0H 1C0","Bishop's Falls","k","9","0","1","1","1","0","0","0","0","0","0","0","E","2021A00051006019","Bishop's Falls","POINT (-55.4822316 49.0146444)","2023-09-30"
"68b26793653bed37e178","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","Box 530, Bishop's Falls A0H 1C0","300402","Leo Burke Academy","Box 530","A0H 1C0","Bishop's Falls","7","12","0","0","0","1","1","0","0","0","0","0","0","H","2021A00051006019","Bishop's Falls","POINT (-55.5137645 48.9981204)","2023-09-30"
"85fa3306d088e04efc88","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","Black Tickle, Black Tickle A0K 1N0","100001","St. Peter's School","Black Tickle","A0K 1N0","Black Tickle","k","12","0","1","1","1","1","0","0","0","0","0","0","K12","2021A00051010008","Division No. 10, Subd. B","POINT (-55.76 53.46)","2023-09-30"
"ad83a4a272f9bd857c06","NL",10,6,"Province of Newfoundland and Labrador","..","Newfoundland and Labrador English School District","General Delivery, Blaketown A0B 1R0","400464","Crescent Collegiate","General Delivery","A0B 1R0","Blaketown","7","12","0","0","0","1","1","0","0","1","0","0","1","H","2021A00051001293","Division No.  1, Subd. Y","POINT (-53.5587125 47.5069562)","2023-09-30"
"f7d28ede955826dfea7a","NL",10,74,"Employment and Social Development Canada","..","..","Bonavista Campus, Bonavista","JVAF","College of the North Atlantic, Bonavista campus","Bonavista Campus","..","Bonavista","..","..","0","0","0","0","0","1","0","0","0","0","0","Technical and Vocational","2021A00051007023","Bonavista","","2024-08-09"
